feature,importance
year,1705362.829053849
plot_area_GPS,1160080.5989239663
country,960677.4152805507
era5_tmean_growing_final,349672.9147195518
elevation_m,282304.1657772809
rainfall_growing_sum_final,273680.0859926939
rainfall_10yr_mean_final,269508.1766753197
action_crop,265489.5863188356
intercropped,263779.1484789252
era5_tmax_growing_final,256039.42482702434
rainfall_10yr_cv_final,255968.66991877556
sand_0-5cm,224866.61103233695
ndvi_preseason_mean_final,217376.81293798983
ndvi_growing_mean_final,213859.90130086243
hh_asset_index,212751.50015337765
clay_0-5cm,167940.21585460007
nitrogen_0-5cm,162896.46432606876
soc_0-5cm,151970.431584239
phh2o_0-5cm,150226.20951518416
travel_time_city_min,149479.31341293454
conflict_nearest_event_km,129114.51872842014
slope_deg,120448.37181466818
age_manager,111452.85911153257
season,98785.03681331873
input_intensity,93066.65686181188
hh_size,80820.1950237155
hh_dependency_ratio,70319.80009296536
female_manager,58477.91647605598
conflict_events_25km_12m,37871.306607842445
irrigated,22650.34555196762
formal_education_manager,16781.489437013865
plot_owned,15860.376056969166
hh_electricity_access,11970.192855030298
livestock,11391.501064747572
nonfarm_enterprise,9347.25101608038
urban,3594.1589920520782
