feature,importance
year,38358.34364235401
action_crop,29538.438146829605
plot_area_GPS,28603.395706415176
intercropped,24612.142565354705
rainfall_10yr_cv_final,22042.678046181798
country,22034.175103895366
rainfall_growing_sum_final,21319.414220251143
rainfall_10yr_mean_final,20518.10422024131
era5_tmean_growing_final,17706.03964266926
ndvi_preseason_mean_final,15499.189044624567
era5_tmax_growing_final,15397.912223055959
sand_0-5cm,14791.993926763535
hh_asset_index,14724.219926908612
ndvi_growing_mean_final,14228.866609096527
age_manager,13204.126002334058
elevation_m,12211.554699242115
clay_0-5cm,11576.68119083345
soc_0-5cm,11381.421869114041
travel_time_city_min,11118.062269032001
nitrogen_0-5cm,11028.8037731722
slope_deg,10300.439237490296
season,10299.030622392893
conflict_nearest_event_km,10258.465065024793
hh_dependency_ratio,7942.98513738811
phh2o_0-5cm,7482.140058293939
hh_size,7298.789850473404
input_intensity,3354.3779229819775
conflict_events_25km_12m,2854.4584745317698
formal_education_manager,1622.0252788364887
female_manager,1212.2393368184566
livestock,1053.5838329195976
nonfarm_enterprise,1001.3538454324007
plot_owned,964.6668867915869
irrigated,871.8919511735439
hh_electricity_access,695.1504390090704
urban,286.1933008879423
