step,elbo
1,-15394845.0
2,-15006378.0
3,-14690897.0
4,-12964660.0
5,-11931689.0
6,-12769862.0
7,-13063011.0
8,-12248576.0
9,-11988059.0
10,-13659845.0
11,-14689115.0
12,-14395215.0
13,-13880722.0
14,-13226341.0
15,-14779314.0
16,-15345736.0
17,-14146178.0
18,-12431004.0
19,-16311344.0
20,-10544849.0
21,-13753647.0
22,-12418669.0
23,-15015219.0
24,-13327069.0
25,-12931751.0
26,-13588284.0
27,-16075104.0
28,-13838675.0
29,-13492858.0
30,-14632424.0
31,-14056622.0
32,-17363258.0
33,-17251914.0
34,-12942990.0
35,-12580250.0
36,-12914017.0
37,-14546937.0
38,-14143161.0
39,-12458169.0
40,-14957033.0
41,-13446853.0
42,-15228065.0
43,-14250557.0
44,-14133849.0
45,-12444298.0
46,-15886135.0
47,-15574164.0
48,-12464733.0
49,-14368370.0
50,-13424603.0
51,-12445210.0
52,-13062315.0
53,-12740109.0
54,-14503438.0
55,-17242406.0
56,-13062870.0
57,-12074896.0
58,-12197894.0
59,-13727295.0
60,-14295026.0
61,-19976180.0
62,-14473837.0
63,-12407401.0
64,-13930350.0
65,-10811025.0
66,-14028761.0
67,-13778424.0
68,-14933751.0
69,-13579182.0
70,-12645374.0
71,-15297255.0
72,-15844164.0
73,-11774964.0
74,-14129986.0
75,-13808205.0
76,-13440295.0
77,-16586621.0
78,-14572223.0
79,-15474423.0
80,-13060764.0
81,-12903101.0
82,-14561507.0
83,-15041324.0
84,-13805467.0
85,-14174452.0
86,-14962040.0
87,-12374976.0
88,-15598674.0
89,-12452000.0
90,-15707840.0
91,-15956314.0
92,-16560756.0
93,-13458793.0
94,-15759462.0
95,-14776499.0
96,-14798559.0
97,-16764734.0
98,-13432264.0
99,-14452578.0
100,-12019849.0
101,-12384742.0
102,-14108153.0
103,-12463924.0
104,-16205641.0
105,-12860955.0
106,-12904943.0
107,-13613881.0
108,-12513853.0
109,-12480938.0
110,-11891493.0
111,-13320889.0
112,-15294800.0
113,-15597979.0
114,-13548590.0
115,-14947309.0
116,-13945343.0
117,-14053734.0
118,-13379786.0
119,-12058530.0
120,-15103445.0
121,-11272146.0
122,-13670836.0
123,-13131093.0
124,-13166176.0
125,-14376244.0
126,-14768202.0
127,-14190677.0
128,-13286083.0
129,-14517791.0
