action,label,pred,obs,diff
0,maize_low,0.013988037109375,0.06217824279466542,0.04819020568529042
1,maize_medium,0.0184228515625,0.06210617818874621,0.043683326626246216
2,maize_high,0.0494384765625,0.06211518626448611,0.01267670970198611
3,tree_crops_low,0.0210498046875,0.11318647167185382,0.09213666698435383
4,tree_crops_medium,0.03339111328125,0.11464577994171775,0.08125466666046774
5,tree_crops_high,0.0790185546875,0.009228773595528391,0.06978978109197162
6,tubers_low,0.036529541015625,0.062286339703544226,0.025756798687919226
7,tubers_medium,0.05666015625,0.06933966300788658,0.012679506757886573
8,tubers_high,0.08707763671875,0.008354990248758012,0.078722646469992
9,legumes_low,0.013157958984375,0.0597280461934124,0.046570087209037395
10,legumes_medium,0.017249755859375,0.06853344022916545,0.05128368436979045
11,legumes_high,0.0230078125,0.011061917008598208,0.01194589549140179
12,sorghum_millet_low,0.0107177734375,0.04364863099768943,0.03293085756018943
13,sorghum_millet_medium,0.012603759765625,0.043635118884079574,0.031031359118454574
14,sorghum_millet_high,0.01897216796875,0.04362160677046972,0.024649438801719725
15,teff_low,0.00594970703125,0.008291933718578707,0.0023422266873287063
16,teff_medium,0.014091796875,0.008287429680708756,0.005804367194291244
17,teff_high,0.040999755859375,0.008291933718578707,0.032707822140796296
18,other_low,0.0152685546875,0.036401634064939216,0.021133079377439218
19,other_medium,0.022393798828125,0.043635118884079574,0.021241320055954575
20,other_high,0.124007568359375,0.008404534665327467,0.11560303369404754
21,rice_low,0.0243603515625,0.007760457249924558,0.01659989431257544
22,rice_medium,0.050274658203125,0.00789557838602307,0.042379079817101935
23,rice_high,0.1940380859375,0.007728928984834904,0.1863091569526651
24,wheat_barley_low,0.002391357421875,0.009836818707971696,0.007445461286096695
25,wheat_barley_medium,0.008289794921875,0.009958427730460358,0.0016686328085853581
26,wheat_barley_high,0.006649169921875,0.009836818707971696,0.003187648786096696
