step,elbo
1,-1622474.25
2,-1620385.875
3,-1892324.5
4,-1585000.5
5,-1721609.0
6,-1522109.625
7,-1626183.0
8,-1696170.625
9,-1539373.75
10,-1723606.5
11,-2172965.5
12,-1598001.75
13,-1792351.25
14,-1647998.25
15,-1866804.25
16,-1857925.75
17,-1697548.75
18,-1604403.75
19,-1869678.0
20,-1459774.75
21,-1718641.75
22,-1673797.0
23,-1881940.75
24,-1436531.75
25,-1687174.5
26,-1906040.625
27,-2122909.5
28,-1899489.25
29,-1881384.875
30,-1668591.25
31,-1625335.25
32,-2306109.5
33,-2161439.5
34,-1451527.875
35,-1465019.625
36,-1551191.125
37,-1785718.5
38,-1884587.375
39,-1585074.125
40,-1785834.75
41,-1568416.125
42,-1968095.875
43,-1886897.25
44,-1525739.125
45,-1643045.375
46,-1708444.875
47,-1798065.125
48,-1604204.125
49,-1903732.375
50,-1550018.625
51,-1517461.0
52,-1647083.375
53,-1592271.5
54,-1751654.375
55,-1704633.875
56,-1567429.0
57,-1811639.375
58,-1562415.25
59,-1733989.25
60,-1708411.875
61,-1937583.0
62,-1620745.5
63,-1599710.25
64,-1818469.25
65,-1360281.625
66,-1608001.0
67,-1675025.25
68,-1886962.375
69,-1728883.875
70,-1572259.75
71,-1665583.875
72,-1717099.25
73,-1600378.125
74,-1614232.0
75,-1516000.625
76,-1675533.125
77,-1779147.75
78,-1608793.0
79,-1820882.0
80,-1666404.75
81,-1489040.375
82,-1802700.25
83,-1773885.5
84,-1557766.875
85,-1799190.75
86,-1836628.0
87,-1532375.875
88,-1701487.625
89,-1538124.375
90,-1779197.75
91,-1844605.0
92,-2033063.125
93,-1592424.625
94,-2153066.0
95,-1509053.875
96,-1744885.75
97,-1862113.375
98,-1570154.625
99,-1646333.5
100,-1564654.5
101,-1593262.625
102,-1694929.25
103,-1688606.875
104,-1848131.875
105,-1444153.625
106,-1744060.0
107,-1585341.5
108,-1539613.875
109,-1639965.125
110,-1573219.375
111,-1496830.625
112,-1694325.125
113,-1771277.625
114,-1626772.875
115,-1907667.25
116,-1678320.375
117,-1667121.25
118,-1629836.25
119,-1713177.375
120,-1734698.0
121,-1462061.5
122,-1635998.375
123,-1467669.0
124,-1841907.625
125,-1628092.5
126,-1486758.125
127,-1926326.125
128,-1508881.75
129,-1892646.125
130,-1820592.125
131,-1545606.0
132,-1488857.75
133,-1819231.375
134,-1634705.625
135,-1653764.125
136,-1813981.0
137,-1906889.0
138,-1970238.375
139,-1480022.125
140,-1743830.875
141,-1653524.5
142,-1571228.5
143,-1740074.0
144,-1879902.5
145,-1862309.5
146,-1866006.25
147,-1623035.125
148,-1578256.375
149,-1700722.0
150,-1425356.5
151,-1516375.875
152,-1588205.0
153,-1596418.375
154,-1537437.375
155,-1631136.375
156,-1697027.25
157,-1590109.25
158,-1668713.375
159,-1694484.375
160,-1675070.625
161,-1698687.875
162,-1880166.625
163,-1653576.125
164,-1847960.125
165,-1563390.25
166,-1536568.25
167,-1452939.125
168,-1946784.125
169,-1437642.5
170,-1330946.25
171,-1753289.375
172,-1547164.875
173,-1492218.25
174,-1321412.75
175,-1465873.5
176,-1914063.625
177,-1414399.75
178,-1677779.25
179,-1782173.375
180,-1438991.125
181,-1793506.875
182,-1543126.875
183,-1650082.75
184,-1408034.25
185,-1644557.125
186,-1286053.625
187,-1530559.625
188,-1527189.0
189,-1597294.625
190,-1708127.5
191,-1670663.5
192,-1642147.25
193,-1703564.75
194,-1456694.75
195,-1452343.0
196,-1987913.375
197,-1548788.125
198,-1638234.125
199,-1601135.25
200,-1663836.5
201,-1511372.625
202,-1371709.5
203,-1509826.875
204,-1748684.875
205,-1770119.625
206,-1497601.625
207,-1443482.125
208,-1897814.875
209,-1819817.25
210,-1368779.875
211,-1690166.25
212,-1518781.5
213,-1752986.375
214,-1769247.375
215,-1600114.25
216,-1698974.75
217,-1853523.375
218,-1643551.875
219,-1287371.0
220,-1511515.625
221,-1891739.625
222,-1598054.5
223,-1709168.125
224,-1407915.25
225,-1717553.375
226,-1579877.375
227,-1667925.0
228,-1282652.125
229,-1806701.25
230,-1494673.375
231,-1538482.125
232,-1975915.0
233,-1481522.625
234,-1461392.25
235,-1445549.75
236,-1608152.0
237,-1513300.875
238,-1454633.625
239,-1913019.5
240,-1562976.0
241,-1591339.5
242,-1372031.375
243,-1857544.875
244,-1408810.25
245,-1419016.75
246,-1733241.875
247,-1405645.625
248,-1556307.875
249,-1364014.375
250,-1437082.5
251,-1415170.75
252,-1503757.875
253,-1587936.75
254,-1325074.25
255,-1803093.0
256,-1774760.625
257,-1422243.375
258,-1516604.375
259,-1320878.0
260,-1613559.375
261,-1486438.5
262,-1314715.25
263,-1537041.625
264,-1694187.375
265,-1642197.5
266,-1415587.25
267,-1532799.625
268,-1338748.5
269,-1631744.0
270,-1360773.5
271,-1498180.75
272,-1505565.25
273,-1379133.0
274,-1593756.75
275,-1413640.375
276,-1563061.625
277,-1356129.375
278,-1474878.75
279,-1659991.75
280,-1594344.0
281,-1518661.25
282,-1564266.875
283,-1457290.75
284,-1608633.375
285,-1555258.0
286,-1332765.5
287,-1321577.125
288,-1308418.625
289,-1698187.375
290,-1547261.5
291,-1357426.375
292,-1329361.25
293,-1717420.5
294,-1544416.75
295,-1405007.25
296,-1487729.875
297,-1569519.0
298,-1688887.125
299,-1460856.0
300,-1485530.5
301,-1714359.25
302,-1436566.375
303,-1707143.375
304,-1367820.5
305,-1367809.5
306,-1470889.75
307,-1383881.875
308,-1384428.75
309,-1715240.0
310,-1319174.25
311,-1362213.625
312,-1710153.25
313,-1347406.875
314,-1441574.75
315,-1500961.625
316,-1553122.5
317,-1421306.5
318,-1253813.125
319,-1284606.125
320,-1327640.875
321,-1620563.375
322,-1422153.125
323,-1502471.625
324,-1414425.625
325,-1429426.5
326,-1717160.25
327,-1450380.625
328,-1452579.875
329,-1497223.125
330,-1337658.25
331,-1465973.875
332,-1595900.0
333,-1410740.75
334,-1486557.875
335,-1395719.875
336,-1547840.0
337,-1617392.25
338,-1344391.875
339,-1777830.0
340,-1454522.625
341,-1535181.25
342,-1369291.625
343,-1200976.0
344,-1274854.5
345,-1382590.25
346,-1374793.75
347,-1325925.625
348,-1340055.875
349,-1487224.5
350,-1567698.375
351,-1245082.0
352,-1432108.5
353,-1579577.0
354,-1458683.625
355,-1436277.125
356,-1433430.375
357,-1555126.875
358,-1454461.125
359,-1251327.125
360,-1461458.375
361,-1536294.0
362,-1478863.5
363,-1346804.0
364,-1298409.625
365,-1520314.0
366,-1339821.0
367,-1355071.625
368,-1320540.625
369,-1401853.25
370,-1355305.875
371,-1519018.5
372,-1435627.5
373,-1410277.375
374,-1407208.625
375,-1256136.375
376,-1473732.625
377,-1186659.75
378,-1521962.5
379,-1684596.625
380,-1272383.625
381,-1437188.375
382,-1349447.25
383,-1502399.625
384,-1217827.25
385,-1456311.625
386,-1197400.0
387,-1569757.375
388,-1371753.0
389,-1162453.25
390,-1230270.875
391,-1396476.875
392,-1253090.125
393,-1429702.25
394,-1302102.0
395,-1674024.875
396,-1364230.75
397,-1136574.375
398,-1208294.75
399,-1416187.125
400,-1348544.25
401,-1445961.0
402,-1462748.625
403,-1607580.375
404,-1478261.875
405,-1539734.25
406,-1310644.625
407,-1197256.625
408,-1292546.0
409,-1102412.25
410,-1519571.125
411,-1391088.75
412,-1350663.0
413,-1265628.0
414,-1172479.5
415,-1252097.0
416,-1567577.625
417,-1318621.125
418,-1243762.25
419,-1349191.75
420,-1447509.625
421,-1342352.0
422,-1236733.125
423,-1362472.5
424,-1155076.75
425,-1394693.75
426,-1377502.0
427,-1337525.25
428,-1187636.5
429,-1127758.25
430,-1159258.25
431,-1527526.625
432,-1227688.875
433,-1281389.375
434,-1394247.875
435,-1465184.625
436,-1356584.0
437,-1235140.125
438,-1269605.125
439,-1541388.125
440,-1297264.0
441,-1330604.375
442,-1270264.375
443,-1488167.125
444,-1327696.125
445,-1410369.875
446,-1488422.0
447,-1367090.875
448,-1325299.5
449,-1270247.125
450,-1233708.625
451,-1363148.0
452,-1231987.0
453,-1245511.25
454,-1318591.625
455,-1162286.25
456,-1215523.5
457,-1362533.5
458,-1469375.125
459,-1355722.375
460,-1322551.25
461,-1321488.5
462,-1240592.125
463,-1239630.75
464,-1220834.375
465,-1238127.25
466,-1184242.625
467,-1208366.875
468,-1298485.375
469,-1388230.625
470,-1500745.625
471,-1282670.25
472,-1170842.25
473,-1344810.875
474,-1271385.625
475,-1144249.875
476,-1192529.125
477,-1310635.0
478,-1359455.0
479,-1233720.625
480,-1245895.375
481,-1138436.375
482,-1222117.0
483,-1242810.625
484,-1294580.5
485,-1329290.625
486,-1157783.625
487,-1351903.375
488,-1226226.25
489,-1177607.0
490,-1169566.875
491,-1370243.625
492,-1160094.625
493,-1306201.75
494,-1235208.0
495,-1351783.875
496,-1331760.875
497,-1333925.375
498,-1219677.125
499,-1192142.375
500,-1122171.125
501,-1184998.375
502,-1445545.75
503,-1289046.5
504,-1206691.125
505,-1447567.125
506,-1202495.5
507,-1211960.125
508,-1242851.0
509,-1149487.875
510,-1272229.5
511,-1328473.25
512,-1238668.375
513,-1185739.75
514,-1153727.0
515,-1131376.375
516,-1122903.5
517,-1110128.5
518,-1284370.875
519,-1311082.625
520,-1183835.5
521,-1029379.5625
522,-1096329.25
523,-1263625.375
524,-1225122.125
525,-1287749.125
526,-1135166.625
527,-1061790.375
528,-1150584.75
529,-1211674.75
530,-1135018.375
531,-1202010.5
532,-1202145.625
533,-1164600.75
534,-1120642.75
535,-1113908.5
536,-1180826.375
537,-1228406.5
538,-1147553.875
539,-1199675.25
540,-1321651.375
541,-1213124.25
542,-1441198.25
543,-1078610.5
544,-1167569.875
545,-1095482.5
546,-1265331.25
547,-1074772.125
548,-1143959.375
549,-1091276.375
550,-1100641.375
551,-1109315.875
552,-1106129.125
553,-1082427.0
554,-1348557.25
555,-1150160.75
556,-1130885.75
557,-1205660.25
558,-1113714.75
559,-1114122.75
560,-1032825.625
561,-1167884.625
562,-1190914.5
563,-1068496.75
564,-1154992.375
565,-1073927.125
566,-1172393.75
567,-1106765.875
568,-1212108.0
569,-1063501.375
570,-1040656.6875
571,-1022420.9375
572,-1199709.875
573,-1191314.625
574,-1033664.1875
575,-1090390.75
576,-1386983.25
577,-1084825.625
578,-1127577.5
579,-1173716.875
580,-1002892.0625
581,-1029519.375
582,-1118680.875
583,-1148387.125
584,-1140564.375
585,-1100794.5
586,-1156516.75
587,-1067701.125
588,-1044034.375
589,-1042105.0625
590,-1113268.375
591,-1160882.0
592,-1231888.625
593,-1169752.0
594,-1205125.0
595,-1120281.125
596,-1164964.375
597,-1204953.25
598,-1118381.625
599,-1143931.75
600,-1206280.875
601,-1038911.5625
602,-1058744.125
603,-1031898.5625
604,-1100613.125
605,-1104539.375
606,-1191290.25
607,-1138542.875
608,-1062930.125
609,-1072746.25
610,-986491.375
611,-1044683.25
612,-1002907.5625
613,-1033213.375
614,-1109676.125
615,-1002641.5
616,-1112601.75
617,-1066395.25
618,-1055434.5
619,-1114749.875
620,-1055033.875
621,-1116513.0
622,-1049174.75
623,-1019877.8125
624,-1203822.125
625,-988555.5625
626,-1333629.5
627,-1113773.375
628,-992154.0
629,-1000556.0625
630,-1081880.375
631,-1049126.875
632,-1109022.125
633,-1007104.0
634,-1039712.0625
635,-1049427.5
636,-1183699.0
637,-1012185.0625
638,-984413.75
639,-1123696.125
640,-1270333.125
641,-1091899.25
642,-1044689.1875
643,-1180773.625
644,-1125438.875
645,-1016659.9375
646,-1090066.125
647,-1107669.125
648,-1201307.375
649,-1001956.5
650,-1020368.1875
651,-1101247.875
652,-1044053.8125
653,-1062910.25
654,-996708.625
655,-1063670.375
656,-975153.9375
657,-1140349.75
658,-1112803.125
659,-984607.375
660,-966817.4375
661,-993911.5625
662,-1026980.5625
663,-1152285.125
664,-1046682.125
665,-1057162.25
666,-1077767.125
667,-1012650.8125
668,-949712.4375
669,-1004399.6875
670,-979220.125
671,-993171.4375
672,-1036772.4375
673,-1001603.0625
674,-1091289.375
675,-1000546.9375
676,-998813.4375
