step,elbo
1,-987931.25
2,-918318.875
3,-1179338.75
4,-958231.0
5,-1624221.5
6,-965373.1875
7,-1080015.5
8,-1347538.75
9,-1206901.625
10,-1013835.6875
11,-1789933.0
12,-1087343.625
13,-1147197.625
14,-1060537.125
15,-1496844.25
16,-1395324.125
17,-951405.375
18,-1031294.8125
19,-1042213.375
20,-976654.0625
21,-1242752.875
22,-1482400.5
23,-1382450.0
24,-1025311.125
25,-1355498.75
26,-1219458.125
27,-2038434.5
28,-1530513.75
29,-1231195.0
30,-1139225.625
31,-986309.1875
32,-1573536.625
33,-1503094.75
34,-1004708.375
35,-975891.5625
36,-1366045.875
37,-1467901.75
38,-1409732.625
39,-937736.1875
40,-1311949.875
41,-1067579.125
42,-1957666.75
43,-1341177.875
44,-912698.6875
45,-1209174.0
46,-1047725.1875
47,-1161412.5
48,-1118444.5
49,-1715476.5
50,-1083859.125
51,-1092555.75
52,-949554.0625
53,-1249821.125
54,-1123337.625
55,-927820.0625
56,-1144378.0
57,-1211467.625
58,-1227181.75
59,-1445511.875
60,-1159781.75
61,-1246448.875
62,-1457257.875
63,-1038279.1875
64,-1055321.5
65,-1075038.875
66,-1010302.5625
67,-1101288.5
68,-1130435.375
69,-1080460.25
70,-1175264.75
71,-1020851.875
72,-993735.0625
73,-886615.25
74,-967216.25
75,-1056984.0
76,-1131687.5
77,-991103.0625
78,-1231913.375
79,-1637754.125
80,-1082300.25
81,-1113691.5
82,-1197550.5
83,-915827.5
84,-1385180.625
85,-1109729.75
86,-1783097.125
87,-982322.5625
88,-1318359.625
89,-1063427.125
90,-1091843.0
91,-1164492.875
92,-1285091.875
93,-1037651.875
94,-1875366.875
95,-978800.5
96,-1294669.625
97,-1737410.875
98,-1068194.5
99,-1292875.0
100,-910961.0
101,-1188340.25
102,-1322265.625
103,-1598970.625
104,-1580253.625
105,-892285.625
106,-1169761.25
107,-1271272.125
108,-1125201.875
109,-1570501.25
110,-1033767.5625
111,-942523.8125
112,-1113781.875
113,-989786.1875
114,-1285085.0
115,-1243970.25
116,-1422114.125
117,-1022149.125
118,-1096217.75
119,-1287014.875
120,-1066943.625
121,-1245878.125
122,-1325914.5
123,-993310.9375
124,-1399448.125
125,-937173.6875
126,-881601.5625
127,-1544984.5
128,-1414631.875
129,-1401858.625
130,-1216560.5
131,-977178.0625
132,-847592.0625
133,-1120388.125
134,-1179089.875
135,-1213847.75
136,-1209244.5
137,-1342285.25
138,-1177916.375
139,-1029486.4375
140,-1475286.625
141,-1057332.125
142,-1077119.0
143,-1279325.25
144,-963141.875
145,-1215623.75
146,-1088012.75
147,-1372568.625
148,-1012073.625
149,-1312835.0
150,-1059043.625
151,-1046816.9375
152,-1060585.75
153,-1101487.625
154,-1129376.375
155,-1140389.0
156,-1106820.625
157,-944882.75
158,-1167730.375
159,-1344813.375
160,-1201808.625
161,-1076495.0
162,-1103874.375
163,-1337741.75
164,-1311287.75
165,-1008074.125
166,-1118930.625
167,-950744.375
168,-1979811.375
169,-856657.1875
170,-950292.8125
171,-1013387.875
172,-1090563.5
173,-1064811.125
174,-1057826.125
175,-894846.3125
176,-1334036.5
177,-970235.4375
178,-1252507.25
179,-1199360.875
180,-993223.4375
181,-1122711.5
182,-1059551.625
183,-1132166.5
184,-897438.4375
185,-1002605.9375
186,-848268.375
187,-1170843.5
188,-1033336.75
189,-1122281.25
190,-1201346.5
191,-1170046.5
192,-1362750.5
193,-1179737.375
194,-911224.9375
195,-1081419.0
196,-1599071.375
197,-916065.25
198,-1684145.75
199,-1482071.875
200,-1065933.5
201,-1040036.9375
202,-1114712.0
203,-993039.5
204,-1669310.0
205,-1421424.125
206,-1072696.875
207,-1034220.8125
208,-1234284.625
209,-1327011.125
210,-850480.75
211,-1103463.625
212,-912987.0
213,-948693.625
214,-1340425.375
215,-985894.625
216,-1168243.5
217,-1223308.25
218,-1238401.875
219,-890467.375
220,-966979.3125
221,-1150881.625
222,-1035431.1875
223,-1320133.75
224,-997131.625
225,-967550.75
226,-1029062.25
227,-1032844.4375
228,-897063.5
229,-1219160.875
230,-933217.4375
231,-921523.5625
232,-1347713.125
233,-1032004.0
234,-879214.75
235,-1266740.5
236,-917963.5
237,-1102014.375
238,-939237.1875
239,-1314009.75
240,-1009321.3125
241,-964530.25
242,-912690.75
243,-1529916.875
244,-933187.25
245,-1127927.875
246,-1037460.8125
247,-896987.8125
248,-1484855.75
249,-1029876.5
250,-897813.5
251,-1052814.875
252,-1100901.25
253,-818810.0625
254,-864440.9375
255,-1152550.125
256,-1525892.5
257,-944583.25
258,-937736.0
259,-949280.5625
260,-1228596.375
261,-860701.0625
262,-908718.4375
263,-1165802.75
264,-1343841.125
265,-992938.3125
266,-1072972.125
267,-1069057.125
268,-897904.5625
269,-1254999.375
270,-839839.5
271,-959787.75
272,-881621.5625
273,-934973.375
274,-1439841.25
275,-817760.625
276,-910959.6875
277,-922339.4375
278,-1083963.75
279,-1544011.125
280,-1045231.1875
281,-906006.125
282,-1176471.375
283,-941533.0625
284,-1226076.5
285,-869999.4375
286,-1063524.625
287,-910526.0625
288,-921888.5625
289,-1275254.375
290,-1066089.0
291,-909574.0
292,-854150.25
293,-1130480.0
294,-885478.0
295,-812840.125
296,-961964.375
297,-1008314.625
298,-932367.75
299,-878101.4375
300,-1039803.0625
301,-1258140.875
302,-842636.9375
303,-1022418.6875
304,-989308.875
305,-803946.4375
306,-955065.125
307,-912065.5625
308,-858392.25
309,-1043950.8125
310,-955470.625
311,-849519.125
312,-1300431.625
313,-840752.125
314,-983392.5625
315,-933421.8125
316,-866275.8125
317,-1208629.25
318,-832691.25
319,-893302.5
320,-995137.3125
321,-1350093.5
322,-1093453.25
323,-935886.6875
324,-944089.0
325,-944437.4375
326,-1083796.625
327,-1048563.0625
328,-968353.5625
329,-848399.9375
330,-832655.75
331,-1024702.0
332,-1104979.25
333,-1098248.125
334,-987939.1875
335,-901846.3125
336,-884693.25
337,-958309.4375
338,-894025.8125
339,-1152020.25
340,-1065003.5
341,-1016187.125
342,-873097.5
343,-814483.1875
344,-897065.6875
345,-949899.9375
346,-889876.0625
347,-818663.9375
348,-1075153.5
349,-1090563.625
350,-1304017.5
351,-912645.125
352,-1082888.75
353,-1165280.5
354,-1078854.625
355,-927443.625
356,-1069511.625
357,-943948.375
358,-959062.8125
359,-904522.6875
360,-1016162.8125
361,-841447.0
362,-865440.375
363,-863903.6875
364,-837321.25
365,-1211437.75
366,-924240.5625
367,-956730.3125
368,-853278.5625
369,-848888.25
370,-843365.375
371,-1135779.875
372,-961145.1875
373,-885194.5625
374,-954857.4375
375,-848172.5
376,-843613.25
377,-838468.0625
378,-1001250.125
379,-1126884.375
380,-847372.4375
381,-997873.5
382,-830166.8125
383,-1014773.8125
384,-791296.125
385,-967927.125
386,-841141.625
387,-850437.8125
388,-836159.4375
389,-778245.375
390,-847982.0625
391,-921247.1875
392,-914233.0625
393,-899448.75
394,-857563.8125
395,-1309674.375
396,-813114.75
397,-831237.6875
398,-859403.5
399,-875576.4375
400,-899637.375
401,-960514.8125
402,-853134.625
403,-1176519.75
404,-880249.375
405,-928433.4375
406,-869749.75
407,-804004.0625
408,-842724.25
409,-776356.4375
410,-1019580.0
411,-890596.0625
412,-869991.375
413,-911008.0
414,-797094.0625
415,-797168.3125
416,-953935.3125
417,-785572.25
418,-805483.375
419,-880634.0625
420,-921050.75
421,-889419.5625
422,-789388.4375
423,-912564.375
424,-832530.4375
425,-836047.125
426,-832693.0
427,-888053.375
428,-851776.9375
429,-783391.625
430,-795449.8125
431,-1054696.375
432,-807416.375
433,-846285.0625
434,-930561.125
435,-921292.1875
436,-847051.6875
437,-935141.75
438,-858864.0625
439,-888335.9375
440,-947286.1875
441,-884613.875
442,-934919.75
443,-1101832.5
444,-827139.3125
445,-894956.625
446,-1039108.75
447,-907134.125
448,-863776.625
449,-789481.1875
450,-832896.4375
451,-851767.3125
452,-828956.125
453,-801899.6875
454,-821534.0625
455,-835159.0
456,-796407.0625
457,-863930.25
458,-916132.0
459,-928539.5
460,-996745.375
461,-893236.875
462,-869892.9375
463,-793033.125
464,-819476.0
465,-821387.4375
466,-818576.4375
467,-790069.8125
468,-856051.1875
469,-884984.75
470,-1204281.0
471,-894662.375
472,-835458.6875
473,-855642.75
474,-794508.1875
475,-792174.9375
476,-845163.4375
477,-858321.3125
478,-855516.375
479,-851516.625
480,-772039.25
481,-769316.875
482,-909179.3125
483,-911012.25
484,-825894.75
485,-934386.0
486,-780273.4375
487,-850287.75
488,-944309.1875
489,-811606.125
490,-813806.4375
491,-789983.1875
492,-816639.0625
493,-859774.375
494,-821871.1875
495,-853270.25
496,-798592.875
497,-929361.125
498,-795112.6875
499,-876360.25
500,-815344.625
501,-824182.1875
502,-861888.125
503,-908350.875
504,-868529.625
505,-974822.5625
506,-881010.1875
507,-813846.75
508,-899498.1875
509,-798009.625
510,-870439.125
511,-921432.375
512,-883445.25
513,-799570.625
514,-810255.5
515,-793688.0625
516,-802346.1875
517,-771674.125
518,-852716.9375
519,-814009.75
520,-839049.375
521,-762157.1875
