step,elbo
1,-943890.75
2,-893543.125
3,-1027619.1875
4,-897638.625
5,-1065874.75
6,-900620.375
7,-942613.75
8,-1003255.375
9,-972135.25
10,-918948.1875
11,-1231290.0
12,-970224.625
13,-1000551.625
14,-942011.5625
15,-1134402.75
16,-1022755.9375
17,-887725.9375
18,-931480.125
19,-995350.5625
20,-891778.9375
21,-1005657.75
22,-1093728.875
23,-1075688.875
24,-877154.0625
25,-1006737.3125
26,-996526.9375
27,-1370021.25
28,-1082901.625
29,-987914.8125
30,-972219.25
31,-925212.25
32,-1184646.625
33,-1142115.25
34,-921606.8125
35,-889270.75
36,-1073246.125
37,-1089911.5
38,-1045611.625
39,-908127.75
40,-984295.0625
41,-935240.25
42,-1251215.125
43,-1064663.375
44,-854707.4375
45,-950862.375
46,-938067.875
47,-1011873.25
48,-965229.6875
49,-1159822.625
50,-962704.0
51,-929820.0625
52,-882621.0625
53,-1023864.9375
54,-945877.625
55,-934121.375
56,-981238.4375
57,-976856.0
58,-1008416.9375
59,-1067645.625
60,-994904.375
61,-1043728.3125
62,-1086202.375
63,-931871.1875
64,-953684.0
65,-919350.4375
66,-929839.125
67,-976630.0
68,-1007243.5
69,-961807.875
70,-1017989.25
71,-966407.625
72,-926127.6875
73,-842294.5625
74,-889868.3125
75,-967503.5
76,-1000093.625
77,-967285.5
78,-1033362.1875
79,-1169565.125
80,-971283.0625
81,-956633.125
82,-1041464.8125
83,-906832.0625
84,-1039234.125
85,-967897.75
86,-1170804.5
87,-897278.875
88,-1040274.9375
89,-949734.1875
90,-973005.125
91,-985333.9375
92,-1131546.125
93,-936232.9375
94,-1306719.625
95,-892111.8125
96,-1018327.25
97,-1265129.75
98,-955404.0
99,-1028042.125
100,-870164.375
101,-942451.4375
102,-1045688.625
103,-1087682.875
104,-1142283.625
105,-873220.125
106,-944818.1875
107,-994162.625
108,-972581.0
109,-1052895.625
110,-934954.0625
111,-893225.4375
112,-1000778.8125
113,-937336.4375
114,-1002298.1875
115,-1017246.25
116,-1044395.125
117,-916394.125
118,-941190.25
119,-1027892.0625
120,-954782.9375
121,-948488.375
122,-1061040.875
123,-917986.6875
124,-1086155.0
125,-899438.1875
126,-886995.5625
127,-1104528.625
128,-1019856.9375
129,-1124118.0
130,-1093108.375
131,-883049.4375
132,-845353.8125
133,-976488.4375
134,-973419.5625
135,-966312.5
136,-968662.5625
137,-1099055.625
138,-1007777.0
139,-966916.375
140,-1085171.75
141,-934383.4375
142,-946470.125
143,-1039327.25
144,-893444.25
145,-986826.8125
146,-990224.625
147,-1013216.0
148,-965331.25
149,-1070955.0
150,-922757.1875
151,-964435.5
152,-934951.5625
153,-982768.5625
154,-957948.3125
155,-966053.625
156,-1027050.625
157,-887528.75
