action,label,pred,obs,diff
0,maize_low,0.042203369140625,0.06217824279466542,0.019974873654040416
1,maize_medium,0.043687744140625,0.06210617818874621,0.018418434048121213
2,maize_high,0.04565673828125,0.06211518626448611,0.01645844798323611
3,tree_crops_low,0.0461669921875,0.11318647167185382,0.06701947948435383
4,tree_crops_medium,0.043822021484375,0.11464577994171775,0.07082375845734275
5,tree_crops_high,0.045927734375,0.009228773595528391,0.03669896077947161
6,tubers_low,0.045777587890625,0.062286339703544226,0.016508751812919227
7,tubers_medium,0.047359619140625,0.06933966300788658,0.021980043867261573
8,tubers_high,0.046455078125,0.008354990248758012,0.038100087876241986
9,legumes_low,0.0411474609375,0.0597280461934124,0.0185805852559124
10,legumes_medium,0.043909912109375,0.06853344022916545,0.024623528119790454
11,legumes_high,0.04437255859375,0.011061917008598208,0.03331064158515179
12,sorghum_millet_low,0.038956298828125,0.04364863099768943,0.004692332169564432
13,sorghum_millet_medium,0.04015380859375,0.043635118884079574,0.0034813102903295742
14,sorghum_millet_high,0.04184326171875,0.04362160677046972,0.0017783450517197263
15,teff_low,0.01175048828125,0.008291933718578707,0.003458554562671294
16,teff_medium,0.011668701171875,0.008287429680708756,0.0033812714911662448
17,teff_high,0.012506103515625,0.008291933718578707,0.004214169797046294
18,other_low,0.043935546875,0.036401634064939216,0.007533912810060786
19,other_medium,0.046158447265625,0.043635118884079574,0.0025233283815454255
20,other_high,0.049832763671875,0.008404534665327467,0.04142822900654754
21,rice_low,0.03859375,0.007760457249924558,0.030833292750075444
22,rice_medium,0.044342041015625,0.00789557838602307,0.03644646262960193
23,rice_high,0.04153564453125,0.007728928984834904,0.033806715546415095
24,wheat_barley_low,0.010361328125,0.009836818707971696,0.0005245094170283036
25,wheat_barley_medium,0.020999755859375,0.009958427730460358,0.011041328128914642
26,wheat_barley_high,0.010875244140625,0.009836818707971696,0.0010384254326533046
