action,label,pred,obs,diff
0,maize_low,0.041275634765625,0.06217824279466542,0.02090260802904042
1,maize_medium,0.0422900390625,0.06210617818874621,0.01981613912624621
2,maize_high,0.0444189453125,0.06211518626448611,0.01769624095198611
3,tree_crops_low,0.054642333984375,0.11318647167185382,0.05854413768747882
4,tree_crops_medium,0.049674072265625,0.11464577994171775,0.06497170767609275
5,tree_crops_high,0.047889404296875,0.009228773595528391,0.03866063070134661
6,tubers_low,0.047442626953125,0.062286339703544226,0.014843712750419229
7,tubers_medium,0.048392333984375,0.06933966300788658,0.020947329023511575
8,tubers_high,0.046378173828125,0.008354990248758012,0.03802318357936699
9,legumes_low,0.03989501953125,0.0597280461934124,0.019833026662162398
10,legumes_medium,0.042369384765625,0.06853344022916545,0.026164055463540455
11,legumes_high,0.042528076171875,0.011061917008598208,0.03146615916327679
12,sorghum_millet_low,0.03643798828125,0.04364863099768943,0.007210642716439432
13,sorghum_millet_medium,0.037125244140625,0.043635118884079574,0.0065098747434545745
14,sorghum_millet_high,0.039173583984375,0.04362160677046972,0.00444802278609472
15,teff_low,0.009892578125,0.008291933718578707,0.0016006444064212942
16,teff_medium,0.009722900390625,0.008287429680708756,0.001435470709916245
17,teff_high,0.010308837890625,0.008291933718578707,0.002016904172046294
18,other_low,0.048897705078125,0.036401634064939216,0.012496071013185783
19,other_medium,0.05068603515625,0.043635118884079574,0.007050916272170429
20,other_high,0.052392578125,0.008404534665327467,0.043988043459672534
21,rice_low,0.0382958984375,0.007760457249924558,0.030535441187575445
22,rice_medium,0.04356689453125,0.00789557838602307,0.03567131614522693
23,rice_high,0.038927001953125,0.007728928984834904,0.031198072968290094
24,wheat_barley_low,0.008975830078125,0.009836818707971696,0.0008609886298466957
25,wheat_barley_medium,0.0194189453125,0.009958427730460358,0.009460517582039644
26,wheat_barley_high,0.00898193359375,0.009836818707971696,0.000854885114221696
