step,elbo
1,-2627316.0
2,-2615234.0
3,-3586080.0
4,-2677847.75
5,-3202794.75
6,-2836916.0
7,-2841820.25
8,-2732874.0
9,-2756636.5
10,-3369084.25
11,-4111412.0
12,-2979782.0
13,-3003854.25
14,-2898930.5
15,-3990376.25
16,-3497385.75
17,-2616377.25
18,-2730519.0
19,-3421386.5
20,-2288881.0
21,-3065176.75
22,-3305680.25
23,-3651856.25
24,-2744974.0
25,-3176295.0
26,-3080805.75
27,-4426158.0
28,-3592188.5
29,-3282691.5
30,-3032754.25
31,-3217823.0
32,-4150342.25
33,-3996321.5
34,-2817726.5
35,-2505412.0
36,-3268970.75
37,-3522904.75
38,-3592215.75
39,-2724983.25
40,-3591703.5
41,-2672156.5
42,-4053181.0
43,-3147773.75
44,-2586780.25
45,-2690581.25
46,-3146430.5
47,-3397150.75
48,-2769915.25
49,-3618434.5
50,-3178738.5
51,-2649160.75
52,-2817644.75
53,-3148341.75
54,-3204658.5
55,-3644273.25
56,-2972375.75
57,-3178765.5
58,-2849596.0
59,-3369087.5
60,-3287951.75
61,-3491611.25
62,-3771445.0
63,-2570414.75
64,-2793376.75
65,-2588094.25
66,-2878168.0
67,-3136345.0
68,-3406757.25
69,-3256660.5
70,-3150750.0
71,-3175268.75
72,-3401456.5
73,-2546283.5
74,-2712440.25
75,-2815098.25
76,-3245655.0
77,-3551565.0
78,-2945982.25
79,-4160143.25
80,-2822805.5
81,-2760358.5
82,-2902309.75
83,-3055169.75
84,-2967952.25
85,-2915644.75
86,-3538614.75
87,-2996521.5
88,-3132119.25
89,-2851672.0
90,-2732178.75
91,-3634945.75
92,-3626687.0
93,-2876502.5
94,-4315935.0
95,-3222607.5
96,-2898899.0
97,-3911573.75
98,-2883854.5
99,-3057513.0
100,-2353757.25
101,-3068810.75
102,-2977383.5
103,-3095813.5
104,-3366609.0
105,-2628705.75
106,-3300499.5
107,-2923057.75
108,-2876310.75
109,-3180334.25
110,-2639900.0
111,-2560095.75
112,-3138636.0
113,-3094229.0
114,-3379408.5
115,-2968917.75
116,-3063534.25
117,-2926019.5
118,-2980620.25
119,-2971270.5
120,-2876714.5
121,-2696614.25
122,-3075444.25
123,-2701765.5
124,-3250430.75
125,-3215507.0
126,-2541600.0
127,-3181198.0
128,-3070091.0
129,-3263647.75
130,-3101160.25
131,-2615312.25
132,-2600494.75
133,-3148915.25
134,-2849266.5
135,-2792498.25
136,-2999724.75
137,-3219133.5
138,-3705360.25
139,-2701597.5
140,-3606905.0
141,-2946533.75
142,-2805185.75
143,-3277747.5
144,-3210015.0
145,-3060270.5
146,-3382239.0
147,-3127619.0
148,-3349546.5
149,-3375022.25
150,-2558528.0
151,-2815850.5
152,-2875152.25
153,-3026132.0
154,-2890567.25
155,-2892358.5
156,-3188083.75
157,-2688080.0
158,-3447233.5
159,-3033643.25
160,-3386267.0
161,-2959493.75
162,-3140984.0
163,-2877172.75
164,-3534212.25
165,-3014674.25
166,-2846352.5
167,-2925174.5
168,-3569321.0
169,-2537022.0
170,-2572784.5
171,-2780474.75
172,-2967593.75
173,-2494340.25
174,-2301608.25
175,-2698391.75
176,-3786961.5
177,-2834222.75
178,-3571784.75
179,-3469693.5
180,-2894636.0
181,-3067966.75
182,-2769213.25
183,-3256337.5
184,-2439816.0
185,-2763889.75
186,-2320610.75
187,-2699960.5
188,-2885798.75
189,-2788821.75
190,-2699183.25
191,-3178367.5
192,-3423030.5
193,-2974923.25
194,-2722586.0
195,-2486622.25
196,-3170613.5
197,-2727380.75
198,-3002721.5
199,-3327516.75
200,-3059467.5
201,-2607276.25
202,-2560747.0
203,-2791264.0
204,-3383711.75
205,-2925284.25
206,-2929332.5
207,-2717091.5
208,-3247895.0
209,-3461176.25
210,-2414591.0
211,-2695519.5
212,-2630892.25
213,-3325369.5
214,-3177992.5
215,-3036065.75
216,-3025135.0
217,-3160564.5
218,-3011836.5
219,-2173326.5
220,-2877595.0
221,-3126612.5
222,-2673853.5
223,-2976559.5
224,-2555814.75
225,-3081275.75
226,-2746214.5
227,-3013255.75
228,-2204648.0
229,-4065533.25
230,-2995325.75
231,-2804154.75
232,-3516697.25
233,-2809053.0
234,-2800061.25
235,-3072193.75
236,-2889008.5
237,-3112427.25
238,-2634933.0
239,-2937734.25
240,-2735622.25
241,-3051066.25
242,-2388534.75
243,-3612720.0
244,-2942999.0
245,-2533422.5
246,-2900836.0
247,-2650727.5
248,-3119535.0
249,-2467736.75
250,-2800596.75
251,-3103929.0
252,-2860227.25
253,-2627073.25
254,-2386515.25
255,-3301391.5
256,-3194545.75
257,-2381301.5
258,-2843139.5
259,-2914358.75
260,-3061118.25
261,-2735494.5
262,-2379085.0
263,-2621937.25
264,-3203933.0
265,-2972476.0
266,-2701570.75
267,-3070984.75
268,-2338296.0
269,-3100581.0
270,-2641059.75
271,-2707107.0
272,-2629588.75
273,-2491797.25
274,-3340564.75
275,-2106973.0
276,-2659363.0
277,-2675230.75
278,-2738439.25
279,-3327755.75
280,-2933992.0
281,-2870407.0
282,-2883482.75
283,-2605061.25
284,-3061506.75
285,-2548192.0
286,-2322195.75
287,-2394229.25
288,-2254296.0
289,-3139914.75
290,-3038888.0
291,-2882652.5
292,-2211917.25
293,-3009286.25
294,-2703634.25
295,-2243343.25
296,-2766019.25
297,-2858028.5
298,-3075147.0
299,-2500500.5
300,-2715837.0
301,-2921048.0
302,-2358070.5
303,-2814385.5
304,-2435632.5
305,-2235382.5
306,-2366117.25
307,-2472481.0
308,-2522834.0
309,-2792585.0
310,-2349348.5
311,-2550395.75
312,-3365994.0
313,-2647418.5
314,-2527730.25
315,-2760356.75
316,-2473711.75
317,-2595990.5
318,-2049859.5
319,-1907786.125
320,-2360116.5
321,-3301797.25
322,-2435242.0
323,-2864432.5
324,-2406641.75
325,-2629867.25
326,-3199564.5
327,-2594991.25
328,-2860161.75
329,-2114361.25
330,-2347884.75
331,-2661290.25
332,-2713064.25
333,-2637930.75
334,-2734569.5
335,-2412343.25
336,-2611091.0
337,-2387699.75
338,-2532943.25
339,-3273304.0
340,-2385287.5
341,-2471270.75
342,-2579818.75
343,-2030587.25
344,-2240208.0
345,-2462418.25
346,-2447518.25
347,-2320575.75
348,-2226087.0
349,-2812507.0
350,-2802295.25
351,-2257233.5
352,-2597012.5
353,-2620350.25
354,-2706967.5
355,-2270780.5
356,-2376872.25
357,-2848941.75
358,-2378080.25
359,-2363661.75
360,-2714136.75
361,-2478633.5
362,-2765323.25
363,-2323371.0
364,-2472236.75
365,-2705349.25
366,-2038472.125
367,-2556593.25
368,-2281518.25
369,-2088707.375
370,-2532189.0
371,-2663088.0
372,-2397560.5
373,-2512597.0
374,-2704051.25
375,-2409896.25
376,-2679544.25
377,-2158340.75
378,-2440189.25
379,-3188640.75
380,-2439361.5
381,-2760779.5
382,-2678116.75
383,-2926517.75
384,-2219199.25
385,-2235690.25
386,-2019149.25
387,-2233769.25
388,-2276712.25
389,-2135170.0
