action,label,pred,obs,diff
0,maize_low,0.03819580078125,0.06217824279466542,0.02398244201341542
1,maize_medium,0.04130126953125,0.06210617818874621,0.020804908657496214
2,maize_high,0.04530517578125,0.06211518626448611,0.01681001048323611
3,tree_crops_low,0.050869140625,0.11318647167185382,0.062317331046853816
4,tree_crops_medium,0.05005126953125,0.11464577994171775,0.06459451041046775
5,tree_crops_high,0.0515234375,0.009228773595528391,0.042294663904471605
6,tubers_low,0.046961669921875,0.062286339703544226,0.015324669781669228
7,tubers_medium,0.050194091796875,0.06933966300788658,0.019145571211011576
8,tubers_high,0.04989990234375,0.008354990248758012,0.04154491209499198
9,legumes_low,0.036829833984375,0.0597280461934124,0.0228982122090374
10,legumes_medium,0.0408251953125,0.06853344022916545,0.027708244916665452
11,legumes_high,0.042449951171875,0.011061917008598208,0.03138803416327679
12,sorghum_millet_low,0.03337890625,0.04364863099768943,0.010269724747689432
13,sorghum_millet_medium,0.035673828125,0.043635118884079574,0.007961290759079573
14,sorghum_millet_high,0.038848876953125,0.04362160677046972,0.004772729817344723
15,teff_low,0.01030029296875,0.008291933718578707,0.002008359250171293
16,teff_medium,0.0108935546875,0.008287429680708756,0.0026061250067912437
17,teff_high,0.012078857421875,0.008291933718578707,0.003786923703296294
18,other_low,0.044056396484375,0.036401634064939216,0.007654762419435787
19,other_medium,0.049041748046875,0.043635118884079574,0.005406629162795426
20,other_high,0.05504638671875,0.008404534665327467,0.046641852053422535
21,rice_low,0.038802490234375,0.007760457249924558,0.031042032984450442
22,rice_medium,0.046854248046875,0.00789557838602307,0.03895866966085193
23,rice_high,0.04391845703125,0.007728928984834904,0.03618952804641509
24,wheat_barley_low,0.008052978515625,0.009836818707971696,0.001783840192346696
25,wheat_barley_medium,0.019176025390625,0.009958427730460358,0.009217597660164643
26,wheat_barley_high,0.00947021484375,0.009836818707971696,0.000366603864221696
