step,elbo
1,-154411.359375
2,-154530.265625
3,-154600.421875
4,-154322.609375
5,-154600.1875
6,-154561.96875
7,-154499.40625
8,-154555.34375
9,-154520.609375
10,-154478.8125
11,-154504.359375
12,-154588.4375
13,-154600.46875
14,-154504.84375
15,-154516.53125
16,-154586.890625
17,-154366.171875
18,-154501.078125
19,-154316.703125
20,-154413.828125
21,-154339.46875
22,-154687.484375
23,-154607.078125
24,-154409.453125
25,-154392.3125
26,-154281.796875
27,-154363.515625
28,-154523.171875
29,-154499.890625
30,-154496.734375
31,-154518.5
32,-154745.484375
33,-154642.65625
34,-154365.046875
35,-154625.546875
36,-154597.6875
37,-154424.734375
38,-154584.96875
39,-154602.828125
40,-154381.640625
41,-154445.484375
42,-154401.609375
43,-154613.09375
44,-154153.234375
45,-154604.71875
46,-154485.828125
47,-154440.40625
48,-154480.265625
49,-154420.1875
50,-154418.421875
51,-154716.46875
52,-154542.6875
53,-154490.828125
54,-154516.28125
55,-154585.09375
56,-154563.40625
57,-154453.578125
58,-154488.125
59,-154448.265625
60,-154602.640625
61,-154451.046875
62,-154585.484375
63,-154470.984375
64,-154557.15625
65,-154491.703125
66,-154589.484375
67,-154348.390625
68,-154632.3125
69,-154381.265625
70,-154441.0625
71,-154483.09375
72,-154408.546875
73,-154407.78125
74,-154424.34375
75,-154433.640625
76,-154405.734375
77,-154366.546875
78,-154384.640625
79,-154414.140625
80,-154364.03125
81,-154470.578125
82,-154581.96875
83,-154638.328125
84,-154473.59375
85,-154467.015625
86,-154441.3125
87,-154628.5
88,-154521.296875
89,-154462.5
90,-154407.421875
91,-154525.765625
92,-154574.65625
93,-154480.1875
94,-154438.25
95,-154527.625
96,-154605.8125
97,-154288.9375
98,-154510.640625
99,-154530.671875
100,-154406.671875
101,-154487.65625
102,-154636.59375
103,-154532.890625
104,-154443.75
105,-154342.453125
106,-154326.578125
107,-154432.078125
108,-154491.6875
109,-154360.0
110,-154384.671875
111,-154451.671875
112,-154135.265625
113,-154480.328125
114,-154634.390625
115,-154482.453125
116,-154344.015625
117,-154354.421875
118,-154377.578125
119,-154397.21875
120,-154344.3125
121,-154338.296875
122,-154382.265625
123,-154389.828125
124,-154305.65625
125,-154332.078125
126,-154278.546875
127,-154242.59375
128,-154259.265625
129,-154267.640625
130,-154508.765625
131,-154311.09375
132,-154372.203125
133,-154527.046875
134,-154473.6875
135,-154574.71875
136,-154451.953125
137,-154055.609375
138,-154189.359375
139,-154447.875
140,-154390.734375
141,-154491.609375
142,-154318.5625
143,-154342.03125
144,-154364.765625
145,-154385.046875
146,-154276.015625
147,-154301.0625
148,-154272.140625
149,-154355.59375
150,-154158.171875
151,-154354.921875
152,-154255.828125
153,-154364.984375
154,-154342.6875
155,-154059.421875
156,-154444.34375
157,-154286.484375
158,-154131.65625
159,-154288.578125
160,-154474.171875
161,-154369.90625
162,-154383.125
163,-154408.6875
164,-154306.21875
165,-154290.796875
166,-154008.40625
167,-154308.28125
168,-154265.59375
169,-154301.5625
170,-154116.0
171,-154122.125
172,-154143.03125
173,-154309.859375
174,-154223.640625
175,-154354.765625
176,-154322.0
177,-154284.828125
178,-154267.203125
179,-154335.65625
180,-154331.734375
181,-154413.78125
182,-154118.953125
183,-154305.90625
184,-154343.1875
185,-154246.625
186,-154321.4375
187,-153954.515625
188,-154314.71875
189,-154228.125
190,-154223.609375
191,-154205.078125
192,-154147.21875
193,-154222.53125
194,-154324.5
195,-154181.828125
196,-154110.9375
197,-154116.203125
198,-154094.875
199,-154441.328125
200,-154151.703125
201,-154143.921875
202,-154230.953125
203,-154163.0
204,-154177.75
205,-154339.609375
206,-154212.53125
207,-154238.15625
208,-154106.046875
209,-154046.703125
210,-154051.265625
211,-154000.484375
212,-154181.296875
213,-154201.640625
214,-154247.40625
215,-154203.328125
216,-154326.21875
217,-153983.0
218,-153941.8125
219,-153969.5
220,-154100.40625
221,-154171.65625
222,-153981.828125
223,-154211.796875
224,-153934.234375
225,-154014.390625
226,-154034.375
227,-154126.953125
228,-154110.515625
229,-154116.640625
230,-154114.640625
231,-153970.734375
232,-153986.90625
233,-154179.59375
234,-154210.796875
235,-153946.03125
236,-154015.375
237,-154008.15625
238,-154143.0
239,-153993.1875
240,-153976.578125
241,-153975.9375
242,-153777.0625
243,-153925.6875
244,-154092.796875
245,-154072.515625
246,-154027.875
247,-154020.09375
248,-153995.109375
249,-153881.484375
250,-153752.859375
251,-153778.15625
252,-154063.5
253,-153791.84375
254,-153902.203125
255,-154065.6875
256,-153984.46875
257,-154014.234375
258,-154016.765625
259,-153835.1875
260,-153886.5625
261,-154239.78125
262,-153990.9375
263,-153848.265625
264,-153880.578125
265,-154080.09375
266,-153821.484375
267,-153978.390625
268,-153866.8125
269,-153875.78125
270,-153979.34375
271,-154018.40625
272,-153864.375
273,-153836.8125
274,-153857.328125
275,-154147.796875
276,-154085.1875
277,-154028.140625
278,-153715.890625
279,-153932.203125
280,-153743.6875
281,-153792.296875
282,-153951.0
283,-153664.59375
284,-153839.390625
285,-153844.546875
286,-153715.828125
287,-153804.90625
288,-153756.1875
289,-153600.90625
290,-153983.828125
291,-153632.265625
292,-153670.625
293,-153838.375
294,-153862.734375
295,-153698.203125
296,-153785.390625
297,-153789.5625
298,-153765.890625
299,-153838.078125
300,-153616.90625
301,-153683.90625
302,-153668.46875
303,-153622.359375
304,-153844.078125
305,-153559.75
306,-153755.5
307,-153712.875
308,-153556.625
309,-153751.09375
310,-153856.09375
311,-153666.953125
312,-153532.34375
313,-153714.1875
314,-153689.625
315,-153503.515625
316,-153573.875
317,-153702.15625
318,-153547.65625
319,-153675.0625
320,-153598.140625
321,-153758.265625
322,-153650.6875
323,-153557.84375
324,-153530.140625
325,-153683.875
326,-153484.15625
327,-153598.421875
328,-153453.734375
329,-153433.1875
330,-153648.421875
331,-153512.375
332,-153462.734375
333,-153647.5625
334,-153707.265625
335,-153412.53125
336,-153420.265625
337,-153485.40625
338,-153460.953125
339,-153612.0
340,-153344.3125
341,-153735.875
342,-153450.109375
343,-153263.203125
344,-153596.984375
345,-153632.859375
346,-153643.234375
347,-153395.625
348,-153251.859375
349,-153477.875
350,-153650.15625
351,-153476.859375
352,-153515.140625
353,-153408.765625
354,-153491.734375
355,-153466.34375
356,-153499.9375
357,-153512.09375
358,-153485.140625
359,-153530.109375
360,-153336.125
361,-153259.84375
362,-153324.015625
363,-153287.25
364,-153246.75
365,-153452.34375
366,-153387.125
367,-153399.265625
368,-153293.890625
369,-153327.03125
370,-153296.65625
371,-153166.203125
372,-153417.6875
373,-153340.984375
374,-153264.796875
375,-153373.859375
376,-153292.828125
377,-153248.8125
378,-153258.859375
379,-153337.078125
380,-153257.109375
381,-153212.703125
382,-153248.390625
383,-153413.0625
384,-153055.890625
385,-153244.421875
386,-153144.671875
387,-153215.609375
388,-153097.28125
389,-153442.203125
390,-153234.984375
391,-153235.96875
392,-153109.421875
393,-153030.203125
394,-152976.34375
395,-153065.171875
396,-152845.90625
397,-153103.171875
398,-153146.171875
399,-152950.890625
400,-153079.96875
401,-152964.03125
402,-153062.640625
403,-153099.03125
404,-152842.8125
405,-153137.6875
406,-153061.296875
407,-152915.03125
408,-152911.984375
409,-153042.96875
410,-153054.53125
411,-153163.765625
412,-153061.828125
413,-152909.390625
414,-152969.140625
415,-152997.421875
416,-153026.828125
417,-152764.5625
418,-152958.59375
419,-152920.90625
420,-152987.578125
421,-153054.109375
422,-152860.765625
423,-152797.765625
424,-153050.296875
425,-152861.890625
426,-152857.390625
427,-152981.21875
428,-153087.34375
429,-152791.453125
430,-152971.1875
431,-152845.75
432,-152913.1875
433,-152891.90625
434,-152873.046875
435,-152783.765625
436,-152697.0
437,-152764.234375
438,-152783.578125
439,-152985.484375
440,-152721.0625
441,-152591.84375
442,-152747.34375
443,-152750.453125
444,-152750.21875
445,-152993.25
446,-152897.078125
447,-152716.53125
448,-152882.234375
449,-152851.21875
450,-152770.40625
451,-152638.28125
452,-152493.59375
453,-152874.84375
454,-152554.171875
455,-152850.625
456,-152606.4375
457,-152761.828125
458,-152677.6875
459,-152599.1875
460,-152561.296875
461,-152724.734375
462,-152501.40625
463,-152600.265625
464,-152623.578125
465,-152614.390625
466,-152594.296875
467,-152684.828125
468,-152548.03125
469,-152534.015625
470,-152544.4375
471,-152508.921875
472,-152510.421875
473,-152428.09375
474,-152713.65625
475,-152536.109375
476,-152617.78125
477,-152487.703125
478,-152365.671875
479,-152600.5625
480,-152396.0625
481,-152403.578125
482,-152400.53125
483,-152419.296875
484,-152572.3125
485,-152459.28125
486,-152535.171875
487,-152369.265625
488,-152442.1875
489,-152548.390625
490,-152385.640625
491,-152390.4375
492,-152272.03125
493,-152604.21875
494,-152196.140625
495,-152270.03125
496,-152266.0625
497,-152418.875
498,-152335.09375
499,-152296.78125
500,-152261.625
501,-152344.671875
502,-152393.46875
503,-152323.1875
504,-152242.578125
505,-152138.84375
506,-152316.40625
507,-152222.375
508,-152224.578125
509,-152391.40625
510,-152205.21875
511,-152067.046875
512,-152148.890625
513,-152322.265625
514,-152267.375
515,-152159.625
516,-152204.828125
517,-151844.484375
518,-152013.234375
519,-152286.953125
520,-152112.953125
521,-152144.265625
522,-152121.25
523,-152120.828125
524,-152073.34375
525,-152232.34375
526,-152030.484375
527,-152001.40625
528,-152172.90625
529,-152206.21875
530,-152241.640625
531,-151908.328125
532,-151917.21875
533,-152001.390625
534,-152058.484375
535,-151993.421875
536,-151846.546875
537,-152001.0
538,-152173.296875
539,-152010.765625
540,-151899.59375
541,-151933.796875
542,-152116.546875
543,-151969.203125
544,-152128.828125
545,-151822.640625
546,-151738.71875
547,-151880.46875
548,-151953.421875
549,-151823.1875
550,-151730.53125
551,-151729.15625
552,-151694.421875
553,-151998.546875
554,-151919.71875
555,-151762.765625
556,-151873.5625
557,-151861.96875
558,-151851.5625
559,-151897.46875
560,-151896.875
561,-151658.671875
562,-151816.65625
563,-151940.203125
564,-151649.21875
565,-151663.84375
566,-151813.78125
567,-151814.8125
568,-151659.28125
569,-151676.5
570,-151652.46875
571,-151901.71875
572,-151429.390625
573,-151722.34375
574,-151702.734375
575,-151681.140625
576,-151524.625
577,-151697.421875
578,-151579.09375
579,-151693.0625
580,-151722.375
581,-151604.296875
582,-151427.0625
583,-151488.796875
584,-151471.0625
585,-151404.578125
586,-151803.03125
587,-151446.046875
588,-151474.734375
589,-151613.015625
590,-151538.65625
591,-151449.171875
592,-151537.96875
593,-151597.5625
594,-151371.3125
595,-151625.609375
596,-151472.28125
597,-151151.25
598,-151572.125
599,-151451.21875
600,-151561.859375
601,-151239.296875
602,-151491.296875
603,-151369.796875
604,-151286.5625
605,-151013.53125
606,-151139.03125
607,-151255.328125
608,-151212.9375
609,-151176.71875
610,-151287.671875
611,-151068.015625
612,-151235.25
613,-151177.328125
614,-151236.109375
615,-151115.671875
616,-151395.859375
617,-150900.65625
618,-151096.953125
619,-151258.421875
620,-150988.25
621,-151339.375
622,-151120.390625
623,-151115.734375
624,-151346.65625
625,-151292.09375
626,-151159.328125
627,-151069.359375
628,-150962.171875
629,-151138.71875
630,-151050.0
631,-151050.484375
632,-151089.1875
633,-151274.328125
634,-150815.5625
635,-151104.703125
636,-150901.5625
637,-150887.375
638,-151086.828125
639,-151190.125
640,-151020.234375
641,-150875.28125
642,-151073.5
643,-150861.828125
644,-150975.46875
645,-150793.46875
646,-150902.953125
647,-150883.25
648,-150975.671875
649,-150746.625
650,-151087.671875
651,-150853.84375
652,-151009.046875
653,-150847.921875
654,-151099.09375
655,-150886.859375
656,-150780.265625
657,-150765.078125
658,-150941.859375
659,-150747.90625
660,-150794.75
661,-150701.84375
662,-150567.5
663,-150729.78125
664,-150838.796875
665,-150824.046875
666,-150764.984375
667,-150584.90625
668,-150546.03125
669,-150585.15625
670,-150812.03125
671,-150389.953125
672,-150702.9375
673,-150779.171875
674,-150733.65625
675,-150892.46875
676,-150593.765625
677,-150798.53125
678,-150515.484375
679,-150606.140625
680,-150691.28125
681,-150525.25
682,-150518.8125
683,-150539.390625
684,-150697.25
685,-150491.859375
686,-150581.234375
687,-150314.28125
688,-150442.140625
689,-150644.234375
690,-150299.1875
691,-150353.40625
692,-150468.171875
693,-150551.234375
694,-150385.390625
695,-150313.890625
696,-150390.796875
697,-150492.859375
698,-150253.96875
699,-150374.984375
700,-150573.8125
701,-150261.71875
702,-150374.390625
703,-150396.71875
704,-150168.296875
705,-150360.65625
706,-150255.1875
707,-150373.5625
708,-150336.328125
709,-150185.15625
710,-150322.71875
711,-150261.90625
712,-150150.453125
713,-150103.546875
714,-150279.625
715,-150224.5
716,-150322.921875
717,-150423.109375
718,-149911.15625
719,-150015.375
720,-149991.15625
721,-150621.0625
722,-150093.84375
723,-150062.796875
724,-150095.78125
725,-150067.640625
726,-149959.9375
727,-150063.6875
728,-150001.28125
729,-149894.375
730,-150147.9375
731,-149968.296875
732,-150215.640625
733,-150199.1875
734,-149959.9375
735,-149944.953125
736,-149768.65625
737,-149798.609375
738,-150040.046875
739,-149916.125
740,-149911.421875
741,-149662.046875
742,-150025.9375
743,-149802.953125
744,-149769.640625
745,-149684.859375
746,-149918.609375
747,-149634.390625
748,-149588.0
749,-149735.421875
750,-149880.625
751,-149748.078125
752,-149794.375
753,-149904.90625
754,-149781.09375
755,-149862.109375
756,-149704.15625
757,-149585.09375
758,-150014.6875
759,-149880.015625
760,-149560.59375
761,-149769.34375
762,-149764.03125
763,-149672.40625
764,-149655.75
765,-149503.8125
766,-149480.015625
767,-149762.015625
768,-149664.8125
769,-149731.859375
