step,elbo
1,-1855635.875
2,-1632839.0
3,-1749937.5
4,-1587731.0
5,-1659035.375
6,-1580828.625
7,-1573074.125
8,-1583432.25
9,-1508301.0
10,-1694876.875
11,-1947651.75
12,-1721304.375
13,-1651442.0
14,-1619013.5
15,-1921807.875
16,-1865432.25
17,-1884830.125
18,-1626188.375
19,-1887065.5
20,-1446735.0
21,-1754606.875
22,-1717501.0
23,-1934220.0
24,-1503801.875
25,-1737030.5
26,-1717224.0
27,-1911680.125
28,-1918950.25
29,-1743483.125
30,-1821017.5
31,-1700137.75
32,-2036747.125
33,-1897841.625
34,-1489978.25
35,-1632495.625
36,-1740409.5
37,-1838533.0
38,-1765386.875
39,-1689908.5
40,-1908321.75
41,-1528091.875
42,-1830952.75
43,-1777929.75
44,-1557357.375
45,-1552779.25
46,-1752991.375
47,-1845367.0
48,-1631012.75
49,-1672689.0
50,-1709484.25
51,-1638772.5
52,-1745132.125
53,-1528389.75
54,-1638517.875
55,-1754297.375
56,-1766253.875
57,-1502819.125
58,-1502741.125
59,-1792706.0
60,-1827702.125
61,-2201545.5
62,-1693247.25
63,-1534309.875
64,-1578557.125
65,-1559750.75
66,-1678976.125
67,-1691444.875
68,-1705974.125
69,-1623515.25
70,-1587275.125
71,-1712377.5
72,-1696217.25
73,-1458386.0
74,-1814735.125
75,-1569612.625
76,-1688260.625
77,-1888474.125
78,-1729928.5
79,-1946222.75
80,-1689236.375
81,-1545061.5
82,-1660666.25
83,-1712550.75
84,-1827930.875
85,-1643347.375
86,-1950666.125
87,-1591724.625
88,-1750547.5
89,-1608810.75
90,-1670237.5
91,-1853261.875
92,-1871891.25
93,-1745720.875
94,-1903314.75
95,-1758737.125
96,-1726025.125
97,-2141916.75
98,-1788026.375
99,-1712353.125
100,-1444264.625
101,-1521031.75
102,-1653199.5
103,-1641002.75
104,-2074704.0
105,-1559041.875
106,-1662562.375
107,-1660002.125
108,-1671722.875
109,-1622820.5
110,-1670840.625
111,-1511103.875
112,-1705567.375
113,-1765842.75
114,-1635056.75
115,-1687051.75
116,-1668993.0
117,-1520898.625
118,-1668259.25
119,-1700430.375
120,-1728801.0
121,-1452993.375
122,-1686421.75
123,-1639544.625
124,-1766959.0
125,-1702729.875
126,-1652277.0
127,-1933552.0
128,-1675371.375
129,-1828096.625
130,-1890445.25
131,-1501281.875
132,-1569639.125
133,-1745811.5
134,-1715875.25
135,-1717211.625
136,-1628739.625
137,-1686598.75
138,-1875640.125
139,-1827270.375
140,-1643576.5
141,-1612374.875
142,-1550926.625
143,-1815802.625
144,-1809766.375
145,-1757030.375
146,-1875766.125
147,-1817394.625
148,-1840746.375
149,-1634505.375
150,-1661158.125
151,-1744505.375
152,-1669363.375
153,-1738555.0
154,-1681850.625
155,-1651379.5
156,-1619882.25
157,-1536138.125
158,-1917962.875
159,-1637943.5
160,-1636325.25
161,-1764421.875
162,-1950295.75
163,-1632186.625
164,-1882981.125
165,-1651121.875
166,-1539667.625
167,-1696225.5
168,-1933939.0
169,-1587548.125
170,-1552207.625
171,-1655207.5
172,-1779410.75
173,-1663927.375
174,-1645231.125
175,-1668623.125
176,-1756134.0
177,-1601959.25
178,-1722423.875
179,-1814295.0
180,-1466958.875
181,-1796797.75
182,-1740960.625
183,-1924874.0
184,-1442446.875
185,-1707203.625
186,-1532246.375
187,-1654699.625
188,-1553535.25
189,-1637132.25
190,-1707859.0
191,-1651675.0
192,-1654442.625
193,-1713811.0
194,-1514025.125
195,-1527617.25
196,-1714128.375
197,-1795904.5
198,-1634825.125
199,-1518212.875
200,-1688746.375
201,-1523474.25
202,-1581763.25
203,-1581429.875
204,-1585270.0
205,-1762687.625
206,-1637253.0
207,-1595251.0
208,-1791602.375
209,-1733530.5
210,-1452517.0
211,-1546102.25
212,-1601711.0
213,-1796723.75
214,-1633952.875
215,-1741065.5
216,-1697334.625
217,-1838724.5
218,-1658861.0
219,-1519283.5
220,-1488196.125
221,-1797908.25
222,-1578140.0
223,-1717278.0
224,-1532570.125
225,-1697425.0
226,-1668041.25
227,-1617368.25
228,-1557962.0
229,-2104809.0
230,-1623384.875
231,-1683475.75
232,-1714421.5
233,-1469638.875
234,-1506800.625
235,-1628961.0
236,-1839854.25
237,-1792446.75
238,-1676710.25
239,-1806983.5
240,-1691668.25
241,-1881580.75
242,-1391471.0
243,-1643677.5
244,-1593004.875
245,-1587729.375
246,-1637052.125
247,-1626645.375
248,-1772823.25
249,-1472745.625
250,-1761606.875
251,-1633288.625
252,-1593556.375
253,-1567952.0
254,-1592875.875
255,-1852345.25
256,-1853021.25
257,-1585783.375
258,-1705337.375
259,-1424454.0
260,-1777312.375
261,-1522648.125
262,-1430948.875
263,-1557770.25
264,-1712410.625
265,-1765962.0
266,-1367426.125
267,-1575191.875
268,-1437185.875
269,-1754144.0
270,-1521778.375
271,-1613120.5
272,-1504399.5
273,-1515402.875
274,-1545636.75
275,-1491449.5
276,-1608330.375
277,-1460423.75
278,-1578343.625
279,-1608823.25
280,-1574601.875
281,-1764061.125
282,-1585620.5
283,-1877087.5
284,-1763865.5
285,-1650985.25
286,-1397926.25
287,-1463164.75
288,-1487631.75
289,-1672753.25
290,-1717352.5
291,-1614190.375
292,-1568756.25
293,-1621944.875
294,-1532297.375
295,-1487724.875
296,-1466583.875
297,-1570092.25
298,-1843001.25
299,-1595825.375
300,-1717415.375
301,-1840065.0
302,-1590720.625
303,-1558994.625
304,-1475644.25
305,-1490980.75
306,-1487161.25
307,-1454437.375
308,-1511791.375
309,-1709896.875
310,-1498948.75
311,-1524429.5
312,-1920278.375
313,-1529611.875
314,-1521216.875
315,-1758957.0
316,-1606234.875
317,-1402744.125
318,-1343983.375
319,-1436154.5
320,-1675849.25
321,-1676399.25
322,-1629798.875
323,-1681908.75
324,-1537870.125
325,-1809267.625
326,-1729011.5
327,-1512585.0
328,-1651353.875
329,-1572762.125
330,-1651029.0
331,-1452588.25
332,-1617412.25
333,-1569041.625
334,-1583133.75
335,-1510829.625
336,-1561748.5
337,-1482176.875
338,-1409827.25
339,-1831030.625
340,-1456382.125
341,-1526717.125
342,-1326008.625
343,-1353812.25
344,-1404124.875
345,-1459393.0
346,-1585760.875
347,-1519828.125
348,-1528938.25
349,-1585614.875
350,-1535837.75
351,-1439684.5
352,-1552586.0
353,-1665878.375
354,-1672029.25
355,-1628060.125
356,-1475571.0
357,-1777911.375
358,-1604650.0
359,-1429595.625
360,-1411429.625
361,-1604255.5
362,-1769687.375
363,-1428874.5
364,-1438322.25
365,-1567953.625
366,-1386448.875
367,-1716952.75
368,-1474140.875
369,-1603834.25
370,-1534598.25
371,-1658543.75
372,-1390526.0
373,-1644397.0
374,-1506908.125
375,-1566970.5
376,-1558962.125
377,-1401095.625
378,-1486438.25
379,-1636597.875
380,-1429346.375
381,-1607793.0
382,-1605579.375
383,-1543328.5
384,-1480185.5
385,-1577843.0
386,-1403938.75
387,-1417632.625
388,-1390302.875
389,-1575329.75
390,-1508665.875
391,-1524852.25
392,-1483902.5
393,-1482986.625
394,-1340898.75
395,-1868385.75
396,-1392275.625
397,-1288627.0
398,-1566526.125
399,-1630628.75
400,-1420443.5
401,-1584867.375
402,-1709078.875
403,-1539541.5
404,-1511273.75
405,-1599761.875
406,-1420805.125
407,-1377660.5
408,-1544588.625
409,-1234748.625
410,-1655981.75
411,-1377568.625
412,-1526704.375
413,-1421975.625
414,-1288502.375
415,-1464865.0
416,-1486775.0
417,-1334690.875
418,-1548207.0
419,-1410053.375
420,-1555217.875
421,-1392414.875
422,-1316968.125
423,-1443213.625
424,-1401601.25
425,-1444488.0
426,-1601244.875
427,-1446813.5
428,-1303017.75
429,-1355205.125
430,-1312235.25
431,-1588762.875
432,-1432224.125
433,-1378617.5
434,-1445463.75
435,-1609018.0
436,-1564779.375
437,-1474380.5
438,-1428476.125
439,-1445534.25
440,-1508713.5
441,-1494974.0
442,-1481816.5
443,-1550100.25
444,-1487414.625
445,-1467103.125
446,-1503183.75
447,-1417952.0
448,-1407463.875
449,-1564084.625
450,-1418889.75
451,-1455287.375
452,-1475884.0
453,-1459738.625
454,-1597205.0
455,-1330333.25
456,-1419994.125
457,-1523449.375
458,-1449807.75
459,-1493375.0
460,-1278437.625
461,-1555458.0
462,-1428745.125
463,-1517788.0
464,-1448976.0
465,-1457761.5
466,-1268835.25
467,-1342940.25
468,-1374281.875
469,-1615022.125
470,-1400210.5
471,-1418549.625
472,-1334435.375
473,-1605891.25
474,-1492466.25
475,-1415726.75
476,-1492301.5
477,-1504965.0
478,-1341325.5
479,-1284638.125
480,-1502203.625
481,-1334883.25
482,-1345783.5
483,-1269097.0
484,-1333683.5
485,-1415279.875
486,-1289164.25
487,-1528668.0
488,-1308231.625
489,-1459189.75
490,-1403011.625
491,-1286030.5
492,-1450703.875
493,-1411060.75
494,-1319180.875
495,-1558359.75
496,-1254425.125
497,-1407115.0
498,-1358576.25
499,-1406405.125
500,-1407562.125
501,-1358843.875
502,-1465889.375
503,-1459416.125
504,-1435197.375
505,-1624914.75
506,-1359818.0
507,-1280839.375
508,-1415016.0
509,-1412758.625
510,-1334395.25
511,-1509394.125
512,-1358487.0
513,-1447660.875
514,-1248120.875
515,-1201300.25
516,-1318365.125
517,-1358173.375
518,-1221007.125
519,-1442802.125
520,-1451535.5
521,-1318646.5
522,-1223380.375
523,-1473702.75
524,-1373442.5
525,-1488820.5
526,-1270467.25
527,-1281101.5
528,-1296089.125
529,-1540503.375
530,-1386294.125
531,-1344002.5
532,-1315442.0
533,-1341448.125
534,-1167435.375
535,-1251011.875
536,-1409259.75
537,-1450934.625
538,-1305668.125
539,-1472796.0
540,-1487723.625
541,-1462419.875
542,-1395518.75
543,-1289827.625
544,-1366916.875
545,-1295700.625
546,-1312058.125
547,-1367729.625
548,-1289193.125
