action,label,pred,obs,diff
0,maize_low,0.041070556640625,0.06217824279466542,0.02110768615404042
1,maize_medium,0.04316162109375,0.06210617818874621,0.018944557094996213
2,maize_high,0.045826416015625,0.06211518626448611,0.016288770248861106
3,tree_crops_low,0.04575927734375,0.11318647167185382,0.06742719432810382
4,tree_crops_medium,0.0442919921875,0.11464577994171775,0.07035378775421774
5,tree_crops_high,0.04734619140625,0.009228773595528391,0.03811741781072161
6,tubers_low,0.046453857421875,0.062286339703544226,0.015832482281669225
7,tubers_medium,0.048463134765625,0.06933966300788658,0.020876528242261577
8,tubers_high,0.048114013671875,0.008354990248758012,0.03975902342311698
9,legumes_low,0.040047607421875,0.0597280461934124,0.019680438771537398
10,legumes_medium,0.04316650390625,0.06853344022916545,0.02536693632291545
11,legumes_high,0.044056396484375,0.011061917008598208,0.03299447947577679
12,sorghum_millet_low,0.03824462890625,0.04364863099768943,0.0054040020914394304
13,sorghum_millet_medium,0.03981201171875,0.043635118884079574,0.0038231071653295756
14,sorghum_millet_high,0.0420556640625,0.04362160677046972,0.0015659427079697252
15,teff_low,0.011602783203125,0.008291933718578707,0.003310849484546293
16,teff_medium,0.01187744140625,0.008287429680708756,0.003590011725541244
17,teff_high,0.012872314453125,0.008291933718578707,0.004580380734546294
18,other_low,0.04277099609375,0.036401634064939216,0.0063693620288107836
19,other_medium,0.04572265625,0.043635118884079574,0.0020875373659204263
20,other_high,0.050244140625,0.008404534665327467,0.04183960595967254
21,rice_low,0.0381005859375,0.007760457249924558,0.030340128687575442
22,rice_medium,0.0445556640625,0.00789557838602307,0.03666008567647693
23,rice_high,0.042982177734375,0.007728928984834904,0.0352532487495401
24,wheat_barley_low,0.0099462890625,0.009836818707971696,0.00010947035452830468
25,wheat_barley_medium,0.020589599609375,0.009958427730460358,0.01063117187891464
26,wheat_barley_high,0.010865478515625,0.009836818707971696,0.0010286598076533048
