action,label,predicted,observed,diff
0,maize_low,0.04016338397373245,0.06217824279466542,0.022014858820932966
1,maize_medium,0.04166307094310049,0.06210617818874621,0.02044310724564572
2,maize_high,0.04486508154560564,0.06211518626448611,0.01725010471888047
3,tree_crops_low,0.04784691225683826,0.11318647167185382,0.06533955941501557
4,tree_crops_medium,0.04784853371047144,0.11464577994171775,0.0667972462312463
5,tree_crops_high,0.05194479851186589,0.009228773595528391,0.0427160249163375
6,tubers_low,0.04780340325101454,0.062286339703544226,0.01448293645252969
7,tubers_medium,0.04948068443359472,0.06933966300788658,0.019858978574291856
8,tubers_high,0.04915882588740806,0.008354990248758012,0.040803835638650046
9,legumes_low,0.039011994252847675,0.0597280461934124,0.020716051940564723
10,legumes_medium,0.0412852497263797,0.06853344022916545,0.02724819050278575
11,legumes_high,0.04217630605838134,0.011061917008598208,0.031114389049783128
12,sorghum_millet_low,0.037354846119546176,0.04364863099768943,0.006293784878143256
13,sorghum_millet_medium,0.03856485589330835,0.043635118884079574,0.005070262990771221
14,sorghum_millet_high,0.04018061191858501,0.04362160677046972,0.0034409948518847114
15,teff_low,0.011207217270282809,0.008291933718578707,0.002915283551704102
16,teff_medium,0.011656382446863614,0.008287429680708756,0.003368952766154858
17,teff_high,0.012581444264783378,0.008291933718578707,0.004289510546204672
18,other_low,0.04212419434022601,0.036401634064939216,0.005722560275286795
19,other_medium,0.04516831589520005,0.043635118884079574,0.0015331970111204726
20,other_high,0.0505856375240403,0.008404534665327467,0.042181102858712835
21,rice_low,0.03749109326511217,0.007760457249924558,0.029730636015187613
22,rice_medium,0.04446077658620954,0.00789557838602307,0.03656519820018647
23,rice_high,0.04491304954892061,0.007728928984834904,0.0371841205640857
24,wheat_barley_low,0.010030920219977209,0.009836818707971696,0.00019410151200551298
25,wheat_barley_medium,0.01971012012268999,0.009958427730460358,0.009751692392229633
26,wheat_barley_high,0.010722290033014597,0.009836818707971696,0.0008854713250429011
