climate,metric,country,delta_median,delta_lo,delta_hi,baseline_median,pct_change
ssp245,exp_income,Ethiopia,2.9861221313476562,2.8147048950195312,3.1262435913085938,66.23852920532227,4.5081347173205675
ssp245,exp_income,Malawi,0.6781978607177734,0.483917236328125,0.82647705078125,57.73823547363281,1.174607874928018
ssp245,exp_income,Mali,-59.39466857910156,-60.01652526855469,-58.81890869140625,247.6710662841797,-23.981270590143
ssp245,exp_income,Nigeria,-4.876991271972656,-5.1147308349609375,-4.612548828125,196.09589385986328,-2.4870440558321523
ssp245,exp_income,Tanzania,9.221111297607422,9.041656494140625,9.479629516601562,72.24273681640625,12.764066955327912
ssp245,exp_income,Uganda,3.7840919494628906,3.7464523315429688,3.8225135803222656,47.09427261352539,8.035142575651772
ssp245,p_below_theta,Ethiopia,-0.007378965616226196,-0.0074915289878845215,-0.007263004779815674,0.27631136775016785,
ssp245,p_below_theta,Malawi,-0.012962482869625092,-0.013019680976867676,-0.012898996472358704,0.23876077681779861,
ssp245,p_below_theta,Mali,0.08633413910865784,0.08603857457637787,0.0866202563047409,0.19122261554002762,
ssp245,p_below_theta,Nigeria,0.020171597599983215,0.020104646682739258,0.02026064693927765,0.24246574193239212,
ssp245,p_below_theta,Tanzania,0.000933133065700531,0.0008025169372558594,0.0010696500539779663,0.2250775322318077,
ssp245,p_below_theta,Uganda,-0.016264989972114563,-0.016290873289108276,-0.01623252034187317,0.3495013564825058,
ssp245,cv_pct,Ethiopia,-0.208643339574337,-0.21900133788585663,-0.19418171048164368,0.0,
ssp245,cv_pct,Malawi,,,,,
ssp245,cv_pct,Mali,-0.4105094373226166,-0.41987642645835876,-0.40113765001296997,0.0,
ssp245,cv_pct,Nigeria,-0.1753230169415474,-0.17947275936603546,-0.17141616344451904,0.0,
ssp245,cv_pct,Tanzania,-0.9763645529747009,-1.0,-0.5228554010391235,0.0,
ssp245,cv_pct,Uganda,-0.17941465228796005,-0.19409266114234924,-0.16063953936100006,0.0,
ssp585,exp_income,Ethiopia,-0.89727783203125,-1.0685806274414062,-0.7616806030273438,66.23852920532227,-1.3546161770137157
ssp585,exp_income,Malawi,1.0942726135253906,0.9142265319824219,1.261993408203125,57.73823547363281,1.8952304388053385
ssp585,exp_income,Mali,-67.24457550048828,-67.82577514648438,-66.66552734375,247.6710662841797,-27.15075947681807
ssp585,exp_income,Nigeria,-9.084053039550781,-9.303741455078125,-8.797744750976562,196.09589385986328,-4.6324544898643065
ssp585,exp_income,Tanzania,8.655864715576172,8.488624572753906,8.907066345214844,72.24273681640625,11.98164008871053
ssp585,exp_income,Uganda,2.889739990234375,2.854156494140625,2.926158905029297,47.09427261352539,6.136075216510398
ssp585,p_below_theta,Ethiopia,-0.005855336785316467,-0.005966514348983765,-0.005735665559768677,0.27631136775016785,
ssp585,p_below_theta,Malawi,-0.010413110256195068,-0.010472148656845093,-0.01034402847290039,0.23876077681779861,
ssp585,p_below_theta,Mali,0.08432594686746597,0.08400161564350128,0.08457949757575989,0.19122261554002762,
ssp585,p_below_theta,Nigeria,0.02397841215133667,0.023871853947639465,0.024092674255371094,0.24246574193239212,
ssp585,p_below_theta,Tanzania,-0.00023299455642700195,-0.00037473440170288086,-0.00010503828525543213,0.2250775322318077,
ssp585,p_below_theta,Uganda,-0.012550100684165955,-0.01258125901222229,-0.01252138614654541,0.3495013564825058,
ssp585,cv_pct,Ethiopia,-0.26536187529563904,-0.2736496031284332,-0.24962811172008514,0.0,
ssp585,cv_pct,Malawi,,,,,
ssp585,cv_pct,Mali,-0.41565342247486115,-0.42495059967041016,-0.4065779149532318,0.0,
ssp585,cv_pct,Nigeria,-0.19713220745325089,-0.20139598846435547,-0.19247929751873016,0.0,
ssp585,cv_pct,Tanzania,-0.9924656748771667,-1.0,-0.6214503645896912,0.0,
ssp585,cv_pct,Uganda,-0.19614677876234055,-0.21055153012275696,-0.1775028109550476,0.0,
