climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
baseline,both,Ethiopia,maize,0.03473113849759102,0.03404286876320839,0.035624533891677856,0.1280706413090229
baseline,both,Ethiopia,tree_crops,-0.08918920950964093,-0.09025883115828037,-0.08800583146512508,0.333287063986063
baseline,both,Ethiopia,tubers,-0.016184081439860165,-0.016572555643506348,-0.0157291250070557,0.06516734918113798
baseline,both,Ethiopia,legumes,0.02340067969635129,0.02268237341195345,0.02390962652862072,0.08825611649081111
baseline,both,Ethiopia,sorghum_millet,0.03196996822953224,0.03112509474158287,0.03260868042707443,0.1144692674279213
baseline,both,Ethiopia,teff,-0.011105558834969997,-0.011546624824404716,-0.010627320036292076,0.07900177966803312
baseline,both,Ethiopia,other,0.008488894673064351,0.008045252645388246,0.009019901743158698,0.09550956659950316
baseline,both,Ethiopia,rice,-0.0004755632544402033,-0.0005336760659702122,-0.0004198395472485572,0.0023708831577096134
baseline,both,Ethiopia,wheat_barley,0.018329039216041565,0.01781156100332737,0.01883840188384056,0.09380923304706812
baseline,both,Malawi,maize,-0.02651248872280121,-0.029026225209236145,-0.024289533495903015,0.6459575667977333
baseline,both,Malawi,tree_crops,0.0009458847343921661,0.0004393085837364197,0.0014233142137527466,0.07890075817704201
baseline,both,Malawi,tubers,-0.0007090800208970904,-0.000870376592501998,-0.0005776815232820809,0.019391698064282537
baseline,both,Malawi,legumes,0.02834811806678772,0.02640715055167675,0.03042597696185112,0.17109413258731365
baseline,both,Malawi,sorghum_millet,0.010496284579858184,0.009071624837815762,0.012037976179271936,0.015398052288219333
baseline,both,Malawi,teff,0.0,0.0,0.0,0.0
baseline,both,Malawi,other,-0.012378743384033442,-0.013268612325191498,-0.011541413143277168,0.06759434193372726
baseline,both,Malawi,rice,-0.0002967792097479105,-0.00038836232852190733,-0.00020182179287075996,0.0016708573675714433
baseline,both,Malawi,wheat_barley,0.0,0.0,0.0,0.0
baseline,both,Mali,maize,-0.0015928559005260468,-0.003032926470041275,-0.0004556626081466675,0.15205582976341248
baseline,both,Mali,tree_crops,-0.03139307314995676,-0.03332831873558462,-0.030130218248814344,0.18448114464990795
baseline,both,Mali,tubers,-0.0012023154995404184,-0.0014070870238356292,-0.0009384310687892139,0.006133521150331944
baseline,both,Mali,legumes,0.027277493616566062,0.024281149031594396,0.02976763970218599,0.050885338918305933
baseline,both,Mali,sorghum_millet,0.049861542880535126,0.04777861386537552,0.0525890588760376,0.4340849369764328
baseline,both,Mali,teff,0.0,0.0,0.0,0.0
baseline,both,Mali,other,-0.011549266055226326,-0.012183825485408306,-0.010611915029585361,0.05913722142577171
baseline,both,Mali,rice,-0.031380265951156616,-0.032497141510248184,-0.03026837483048439,0.11286686919629574
baseline,both,Mali,wheat_barley,0.0,0.0,0.0,0.0
baseline,both,Nigeria,maize,0.04537097178399563,0.04423029348254204,0.04643494635820389,0.16255632415413857
baseline,both,Nigeria,tree_crops,-0.011511801450978965,-0.011966646765358746,-0.01097881025634706,0.04676481056958437
baseline,both,Nigeria,tubers,-0.10520183388143778,-0.10685210675001144,-0.10393459536135197,0.3071940317749977
baseline,both,Nigeria,legumes,0.015506339259445667,0.014727367088198662,0.0162830650806427,0.13231385126709938
baseline,both,Nigeria,sorghum_millet,0.06985455751419067,0.06839342415332794,0.07105506956577301,0.2525235004723072
