climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
baseline,transfer,exp_income,Ethiopia,0.04778289794921875,0.004669189453125,0.09033203125,1.9856468439102173,0.024064147205110603,0.0023514702362330657,0.04549249607352859,1.0
baseline,transfer,exp_income,Malawi,1.4591064453125,1.4177589416503906,1.4949951171875,1.9123499393463135,0.7629913413291174,0.7413700350967221,0.7817581324569314,1.0
baseline,transfer,exp_income,Mali,7.517936706542969,7.3223419189453125,7.7499847412109375,12.995691299438477,0.5784945589518433,0.5634438176645286,0.5963503258611416,1.0
baseline,transfer,exp_income,Nigeria,4.509391784667969,4.4143829345703125,4.608245849609375,10.273679733276367,0.43892664573357143,0.4296788540402093,0.4485487156742197,1.0
baseline,transfer,exp_income,Tanzania,1.5937347412109375,1.5400009155273438,1.6519546508789062,2.602651596069336,0.6123503981930893,0.5917045976699823,0.6347198577688142,1.0
baseline,transfer,exp_income,Uganda,1.6445884704589844,1.6290664672851562,1.6574363708496094,2.545980930328369,0.6459547480769515,0.6398580790135953,0.6510010939617842,1.0
baseline,transfer,p_below_theta,Ethiopia,-0.041857220232486725,-0.04226258397102356,-0.04150494933128357,1.9856468439102173,-0.021079891603513833,-0.0212840385492711,-0.020902482965979147,1.0
baseline,transfer,p_below_theta,Malawi,-0.05639679729938507,-0.056604206562042236,-0.05616763234138489,1.9123499393463135,-0.029490835405711797,-0.02959929320330927,-0.02937100118850858,1.0
baseline,transfer,p_below_theta,Mali,-0.05144452303647995,-0.05197116732597351,-0.05092830955982208,12.995691299438477,-0.003958583029646356,-0.003999107560227989,-0.0039188611353074086,1.0
baseline,transfer,p_below_theta,Nigeria,-0.04969320446252823,-0.04999774694442749,-0.04936519265174866,10.273679733276367,-0.004836943116065058,-0.004866586095971552,-0.004805015723028156,1.0
baseline,transfer,p_below_theta,Tanzania,-0.0605161115527153,-0.06074373424053192,-0.0602814257144928,2.602651596069336,-0.02325171438394212,-0.023339172377997257,-0.023161542561260615,1.0
baseline,transfer,p_below_theta,Uganda,-0.03864066302776337,-0.038741737604141235,-0.03853127360343933,2.545980930328369,-0.0151771219365652,-0.015216821596202804,-0.015134156404883104,1.0
