action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
0,maize_low,maize,low,0.06217824279466542,0.062044553095060316,0.00013368969960510235,0.04271104872668939,0.042654694900754894,0.21528494438711157,0.2152151566939269,0.0508184866215239,0.050536212875976046,0.05412558259362484,0.05400316429351199,0.09692770662747568,0.0963321861170928,0.041540133618898446,0.041436235541094386
1,maize_medium,maize,medium,0.06210617818874621,0.06212583410598099,1.965591723478155e-05,0.04272537168065542,0.04273889097069797,0.21539961013645223,0.21519493955768507,0.0508184866215239,0.050972374951262285,0.05410216174438485,0.05415396831431087,0.09671775491636923,0.09666528454445898,0.04130038679154813,0.041351325141436676
2,maize_high,maize,high,0.06211518626448611,0.06214986008354429,3.467381905818134e-05,0.04271104872668939,0.04278450966854208,0.21528494438711157,0.21549881068664428,0.0508184866215239,0.05067260374707827,0.05412558259362484,0.05399851714315259,0.09685772272377353,0.09660766265517769,0.041332353035194835,0.041493090169686914
3,tree_crops_low,tree_crops,low,0.11318647167185382,0.11307901450179536,0.00010745717005845867,0.1461943911312269,0.14617643823293075,0.0788900355463823,0.07900309926979245,0.08631911116954835,0.08626322295155804,0.022062439984073822,0.021983312393413373,0.024914269717964867,0.024826899783268703,0.17479142026020522,0.1744861501477026
4,tree_crops_medium,tree_crops,medium,0.11464577994171775,0.11468387777347668,3.809783175892645e-05,0.16392620814116704,0.1639137508604782,0.0,0.0,0.09217014003024128,0.09226840004928327,0.02182823149167389,0.021745467000143348,0.026383931695709986,0.026510607607136753,0.18057731036025956,0.1807300678894363
5,tree_crops_high,tree_crops,high,0.009228773595528391,0.009200790706704586,2.7982888823805535e-05,0.02314589360909794,0.02301698682987246,0.0,0.0,0.005785286963381763,0.005847947458577003,0.0028573436072792,0.0028994024093604545,0.001679613688851564,0.001743285543519446,0.003180641242847553,0.003166711120903299
6,tubers_low,tubers,low,0.062286339703544226,0.062342749913719714,5.641021017548792e-05,0.02961986880174167,0.02962124787969728,0.008427932576539388,0.008384591214194053,0.0020379988166458482,0.0020466722467366704,0.12218657048504579,0.12231435822185799,0.049408636013716846,0.049693857318497396,0.09046446952018668,0.09052073694823021
7,tubers_medium,tubers,medium,0.06933966300788658,0.0693516112537519,1.1948245865325835e-05,0.03285685639806354,0.03286067050563993,0.009287925696594427,0.009310387824150104,0.00328709486555782,0.0032976775199632037,0.15064290231163782,0.1506875290682493,0.051368185317377,0.05142728957754154,0.09147140619505802,0.09145676190651437
8,tubers_high,tubers,high,0.008354990248758012,0.00839447119771534,3.948094895732737e-05,0.0027070382995789052,0.0027247300960115952,0.0015479876160990713,0.0015468519770690764,0.0009203865623561896,0.0009681176752514245,0.03431154413659039,0.034436103625536896,0.003219259570298831,0.0032185425784741514,0.0018220758878624173,0.0018463090391167931
9,legumes_low,legumes,low,0.0597280461934124,0.05974542610091274,1.7379907500343628e-05,0.03695322123234696,0.03696053346876235,0.06667813324160074,0.06672969569155834,0.022943922161593584,0.023011139327788442,0.040260439843548726,0.040245436734072174,0.041990342221289105,0.04228295687524622,0.10948438448997859,0.10945059357940083
10,legumes_medium,legumes,medium,0.06853344022916545,0.06850278231053913,3.065791862631728e-05,0.04173708785699963,0.041804945268417354,0.0841646600160532,0.0839989082142337,0.024324502005127868,0.024384733944213716,0.064290231163782,0.06425699964790438,0.04772902232486528,0.04762073386216219,0.11247322827094589,0.11236768601095132
11,legumes_high,legumes,high,0.011061917008598208,0.011048908456395666,1.300855220254249e-05,0.009596379157237388,0.009568506097475827,0.02081183350533196,0.02081466606181863,0.00328709486555782,0.0031972521700226126,0.02808159823875214,0.02808688105540747,0.0027293722443837917,0.002766487476509099,0.0021577214461528625,0.0021516340395376244
12,sorghum_millet_low,sorghum_millet,low,0.04364863099768943,0.04364517878845693,3.4522092325003917e-06,0.038127703457561085,0.03812736288319057,0.005102625845659901,0.005203102708924907,0.1447636578791664,0.14460967300180752,0.08426821556549641,0.08427445987726785,0.008538036251662117,0.008505638060931025,0.01627081801617492,0.016271511352164127
