param,country,median,mean,sd,hpdi_lo,hpdi_hi,r_hat,ess_bulk,ess_tail
a,Ethiopia,0.4087880253791809,0.4088781476020813,0.010286313481628895,0.3925847113132477,0.4250789284706116,1.000547814690394,2645.615857537433,2889.4309923085602
a,Malawi,-0.6258041858673096,-0.6252962350845337,0.05009901151061058,-0.710403561592102,-0.5505818724632263,0.9999636963152307,2562.688270032747,3362.4727526132415
a,Mali,1.343111276626587,1.3431086540222168,0.040262918919324875,1.2781459093093872,1.406671166419983,1.0006520607334264,2729.303981204376,2730.306693437278
a,Nigeria,1.7119803428649902,1.7113707065582275,0.02692750282585621,1.669653058052063,1.754883050918579,1.0008188336408554,3001.5442473943763,2654.9692755399847
a,Tanzania,-0.09440253674983978,-0.09429643303155899,0.05971304327249527,-0.18390710651874542,0.004771818406879902,1.0017142563024888,2328.318881346515,3162.1859167217126
a,Uganda,0.9050636291503906,0.9052006006240845,0.03267407789826393,0.8562346696853638,0.9618998765945435,1.000482188047749,5703.158469192512,3417.1769698594126
b,Ethiopia,-5.422976493835449,-5.4220757484436035,0.07465637475252151,-5.542033672332764,-5.3041157722473145,1.0007551500319776,4156.742155719236,2785.1373165393784
b,Malawi,-6.30322265625,-6.301724433898926,0.2697736918926239,-6.733546257019043,-5.880364894866943,1.0008567615775104,3489.895440615276,2632.5169260799084
b,Mali,-9.11454963684082,-9.119841575622559,0.2610456347465515,-9.542966842651367,-8.703842163085938,1.001308821732378,3600.4369126914653,3189.503917015828
b,Nigeria,-9.003341674804688,-9.002448081970215,0.17293840646743774,-9.291175842285156,-8.742209434509277,0.9999521745001115,3456.683845070784,2995.3787520398478
b,Tanzania,-10.812447547912598,-10.813871383666992,0.3161607086658478,-11.334172248840332,-10.315205574035645,1.000358144326382,3948.3557475785337,2892.603214720709
b,Uganda,-11.133801460266113,-11.13546371459961,0.18663395941257477,-11.428783416748047,-10.841602325439453,1.0022420738957598,3652.202732930477,2958.8647203400296
c,Ethiopia,2.4665303230285645,2.4664342403411865,0.02935617044568062,2.4204065799713135,2.5138676166534424,1.0012243287139468,4361.397446193038,3135.4164954573207
c,Malawi,2.397132158279419,2.3974545001983643,0.1049526184797287,2.2298238277435303,2.5635504722595215,1.00106021003519,3503.911401429339,2807.4495802435963
c,Mali,4.063338279724121,4.06588077545166,0.1291632503271103,3.8584823608398438,4.275443077087402,0.9997891125828925,3614.6312713467933,3216.9905228101065
c,Nigeria,3.8568015098571777,3.8581273555755615,0.06573797017335892,3.7542226314544678,3.9634180068969727,0.9993447370331385,3816.2052467989897,3054.9543670771623
c,Tanzania,4.404335975646973,4.404694557189941,0.11161096394062042,4.232728958129883,4.593744277954102,1.0005196160454983,4060.847204201973,2783.7445336645956
c,Uganda,5.181796073913574,5.181953430175781,0.07422402501106262,5.059727191925049,5.295229434967041,1.0029784151179848,3730.2949100195715,2831.011175876924
