param,country,tercile,n_obs,median,sd,hpdi_lo,hpdi_hi,r_hat,ess_bulk,ess_tail
a,Ethiopia,T1_poor,24825,0.3581797480583191,0.013710609637200832,0.336193710565567,0.3795323967933655,0.9999669513509469,3249.915817655614,3332.2167067479663
a,Ethiopia,T2_mid,21725,0.400712788105011,0.0156000517308712,0.3775530755519867,0.4266532063484192,1.0014394955393948,3019.481454708822,2935.4762520733884
a,Ethiopia,T3_rich,23268,0.5144103765487671,0.016474025323987007,0.48882991075515747,0.541199803352356,1.0002308718623665,3366.0823155499975,3349.2895902559167
a,Malawi,T1_poor,5844,-1.0648671388626099,0.07086949795484543,-1.187572717666626,-0.9608021974563599,1.0014525573019797,2750.3320720542624,3063.4312158055263
a,Malawi,T2_mid,5806,-0.817966639995575,0.07091306895017624,-0.9298644661903381,-0.7045307755470276,1.0007583153049586,2543.099833542873,2869.1548987528417
a,Malawi,T3_rich,5792,-0.0895141065120697,0.06277332454919815,-0.18963460624217987,0.009489032439887524,1.0002686566961667,2420.77385176663,3250.817704971453
a,Mali,T1_poor,5098,0.9817790985107422,0.05301475524902344,0.9038619995117188,1.0739214420318604,1.0003344044754994,3409.3085482272386,2820.1506693932656
a,Mali,T2_mid,5104,1.3988168239593506,0.05308188498020172,1.3139193058013916,1.4826982021331787,1.000146747952414,2928.6487106481313,2937.5610065625992
a,Mali,T3_rich,5009,1.7131049633026123,0.05582673102617264,1.6196410655975342,1.7985819578170776,1.001066406047877,2935.792859400268,2997.7759475856838
a,Nigeria,T1_poor,14241,1.067200779914856,0.041038628667593,1.0030983686447144,1.1328773498535156,1.0011672157377616,3537.331065135569,2896.713744474174
a,Nigeria,T2_mid,14227,1.6404978036880493,0.04101722687482834,1.5749948024749756,1.7051891088485718,1.0007828934622918,2909.365611426939,2405.059008460039
a,Nigeria,T3_rich,14229,2.1074585914611816,0.03808469697833061,2.0460240840911865,2.1671018600463867,0.9997591507358902,4198.748758335382,3080.4304112076065
a,Tanzania,T1_poor,4785,-0.3170427978038788,0.08148147910833359,-0.45331433415412903,-0.1915634125471115,1.0004242640755026,2110.26822542577,2657.6082880325102
a,Tanzania,T2_mid,4762,0.027769552543759346,0.08033830672502518,-0.09573408216238022,0.15867049992084503,1.000731615662155,2193.1053199022176,2184.9990442825488
a,Tanzania,T3_rich,4742,0.016005564481019974,0.07793914526700974,-0.11798373609781265,0.1267351657152176,1.0006339368882349,1977.017117987063,2606.4626626289073
a,Uganda,T1_poor,21034,0.6978710293769836,0.053618595004081726,0.6097908020019531,0.7814711928367615,1.0008677974199218,5653.882348943721,3407.9970500680543
a,Uganda,T2_mid,20719,1.0008642673492432,0.05293191596865654,0.9174244403839111,1.0848649740219116,1.0008269482008394,6339.952617874115,3090.287205742586
a,Uganda,T3_rich,20813,1.0029696226119995,0.04868941009044647,0.9272819757461548,1.0799202919006348,1.0017099302901777,5752.742684657141,3180.479321830466
b,Ethiopia,T1_poor,24825,-5.003106117248535,0.11861251294612885,-5.184907913208008,-4.81603479385376,1.0035858919242326,2775.1160899413658,2798.9532459756424
b,Ethiopia,T2_mid,21725,-5.769043922424316,0.13170287013053894,-5.989554405212402,-5.5687642097473145,1.0001937937307153,3092.0926553826407,2574.606444547191
b,Ethiopia,T3_rich,23268,-5.588780879974365,0.11781548708677292,-5.780163288116455,-5.406384468078613,1.001299932157518,3114.792551299344,3038.6652049416184
b,Malawi,T1_poor,5844,-7.075430870056152,0.48610103130340576,-7.8807806968688965,-6.323268890380859,1.001305587445498,2485.10925471539,2984.1112002167074
b,Malawi,T2_mid,5806,-6.8603739738464355,0.48903030157089233,-7.668959617614746,-6.11845588684082,1.0006623715369556,2765.4506795491866,2766.0700634020213
b,Malawi,T3_rich,5792,-4.171887397766113,0.4264664053916931,-4.83835506439209,-3.487701892852783,1.0008895182487993,2579.0141020673827,2588.1820265979404
b,Mali,T1_poor,5098,-8.873771667480469,0.4273328483104706,-9.536742210388184,-8.174856185913086,1.0012220565700027,3055.1472165097025,2624.8923466824945
b,Mali,T2_mid,5104,-9.756110191345215,0.4509364068508148,-10.465072631835938,-9.041409492492676,0.9998621297770339,3088.7727068299423,3221.2223045783157
b,Mali,T3_rich,5009,-8.130151748657227,0.41663095355033875,-8.824524879455566,-7.492637634277344,1.0025191547102652,2659.568420473772,2805.3337358868325
b,Nigeria,T1_poor,14241,-12.98851490020752,0.3292332887649536,-13.494805335998535,-12.435375213623047,1.0002816186833576,2872.069816938506,2513.3376508100396
b,Nigeria,T2_mid,14227,-10.583734512329102,0.2669201195240021,-10.997625350952148,-10.146535873413086,1.0002068323077404,3404.6929834943335,3203.15808488383
b,Nigeria,T3_rich,14229,-4.967757225036621,0.2605777680873871,-5.399863243103027,-4.567328453063965,1.0019438826221263,2793.9651675348573,2654.3841773299155
b,Tanzania,T1_poor,4785,-11.156915664672852,0.5364492535591125,-11.963114738464355,-10.262642860412598,0.9997274836788568,3078.2514930224365,2870.395299138448
b,Tanzania,T2_mid,4762,-8.740089416503906,0.5393125414848328,-9.533681869506836,-7.816210746765137,1.000592275931259,3212.996962418836,2896.9768456384327
b,Tanzania,T3_rich,4742,-11.42753791809082,0.48998549580574036,-12.191875457763672,-10.627251625061035,0.9999384407229711,2769.7153543973573,2617.5346165855094
b,Uganda,T1_poor,21034,-12.747220993041992,0.3176429271697998,-13.268176078796387,-12.26479721069336,1.002509406933415,3158.578068975603,2788.223511510604
b,Uganda,T2_mid,20719,-11.603445053100586,0.3466593325138092,-12.171711921691895,-11.04755973815918,1.0003164164235054,2951.4203907624637,3039.6856390661783
b,Uganda,T3_rich,20813,-8.72011947631836,0.2987252175807953,-9.222145080566406,-8.264546394348145,1.00048208623828,3173.072023535398,2692.6224745428726
c,Ethiopia,T1_poor,24825,2.3201518058776855,0.04829131066799164,2.2406234741210938,2.3929169178009033,1.0032201953044495,2801.2162224086815,2651.8292754261047
c,Ethiopia,T2_mid,21725,2.54288911819458,0.05380658060312271,2.4560599327087402,2.6289942264556885,1.0006650596764308,3180.067737012676,3010.609566743738
c,Ethiopia,T3_rich,23268,2.5705132484436035,0.048100050538778305,2.4988505840301514,2.6515190601348877,1.0013175117564006,3157.989176793897,3157.4360235572276
c,Malawi,T1_poor,5844,2.496318817138672,0.18725112080574036,2.1973934173583984,2.7886104583740234,1.0033290871525047,2565.3007838189756,2683.039071559429
c,Malawi,T2_mid,5806,2.7086734771728516,0.18969258666038513,2.426283121109009,3.024358034133911,1.000313646712571,2766.2288523500865,2672.5310024484247
c,Malawi,T3_rich,5792,1.8075006008148193,0.16382558643817902,1.5393315553665161,2.0538573265075684,1.0010054907172727,2539.1921000403563,3019.808240909134
c,Mali,T1_poor,5098,3.7080447673797607,0.20909163355827332,3.3590335845947266,4.029692649841309,1.0016931906989206,3084.251287392341,2846.668946904453
c,Mali,T2_mid,5104,4.448122978210449,0.22907133400440216,4.080679893493652,4.8165693283081055,1.0000695335741792,3222.24675508432,3217.795996034508
c,Mali,T3_rich,5009,3.823089122772217,0.20638160407543182,3.4947540760040283,4.148096561431885,1.0027900474389526,2748.3951678638828,2985.737071800317
c,Nigeria,T1_poor,14241,5.4950151443481445,0.1419645994901657,5.279102802276611,5.727438926696777,0.9998352697284195,2986.4036525474507,2696.280114555075
c,Nigeria,T2_mid,14227,4.087978839874268,0.10677306354045868,3.927156448364258,4.266690731048584,1.0001580601951605,3534.754619448209,3062.7277339882407
c,Nigeria,T3_rich,14229,2.5525007247924805,0.1001574769616127,2.396667242050171,2.716966390609741,1.001684266926938,2808.500213586087,2884.1586353580824
c,Tanzania,T1_poor,4785,4.5440216064453125,0.18947674334049225,4.236292839050293,4.840769290924072,0.9994990731912748,2881.2411085648696,2867.576397896
c,Tanzania,T2_mid,4762,3.664877414703369,0.1950846165418625,3.3563780784606934,3.9708757400512695,1.0007132234368141,3253.8099888862503,2974.223432468022
c,Tanzania,T3_rich,4742,4.618679046630859,0.17519591748714447,4.324728012084961,4.878636360168457,1.000390804186124,2826.7670340766836,2527.5126247154626
c,Uganda,T1_poor,21034,5.689330101013184,0.1306743323802948,5.488064289093018,5.904026985168457,1.0029150433538414,3299.7962589023136,2673.1852041678358
c,Uganda,T2_mid,20719,5.522485733032227,0.14058171212673187,5.297138214111328,5.755027770996094,1.0006317316624296,2981.2509186044153,3059.298261721415
c,Uganda,T3_rich,20813,4.218964576721191,0.1203584298491478,4.030447006225586,4.412756443023682,1.0002658527403685,3203.3130337442044,2684.2157562175958
