action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
0,maize_low,maize,low,0.06217824279466542,0.04435562982213554,0.017822612972529878,0.04271104872668939,0.036515368529605546,0.21528494438711157,0.05965542942323128,0.0508184866215239,0.04206889750838209,0.05412558259362484,0.044007541513455276,0.09692770662747568,0.04665756875918539,0.041540133618898446,0.049107182814947414
1,maize_medium,maize,medium,0.06210617818874621,0.04584768244731401,0.016258495741432198,0.04272537168065542,0.03684379386404652,0.21539961013645223,0.06165290677674578,0.0508184866215239,0.04778778515547959,0.05410216174438485,0.048217907581328906,0.09671775491636923,0.04715165511932255,0.04130038679154813,0.04910206821596394
2,maize_high,maize,high,0.06211518626448611,0.04834908995914838,0.013766096305337733,0.04271104872668939,0.03728307886218454,0.21528494438711157,0.06338779956427015,0.0508184866215239,0.054241667214515815,0.05412558259362484,0.05591938543691594,0.09685772272377353,0.052147106165581915,0.041332353035194835,0.04903909471597992
3,tree_crops_low,tree_crops,low,0.11318647167185382,0.04378474302211933,0.06940172864973448,0.1461943911312269,0.03679022601621358,0.0788900355463823,0.0598113748423346,0.08631911116954835,0.04205048977713497,0.022062439984073822,0.04054359791086025,0.024914269717964867,0.04615368465252992,0.17479142026020522,0.04921458939360036
4,tree_crops_medium,tree_crops,medium,0.11464577994171775,0.03898208744139121,0.07566369250032653,0.16392620814116704,0.037525423243289696,0.0,0.0,0.09217014003024128,0.04700742883439616,0.02182823149167389,0.04268285828044125,0.026383931695709986,0.028753586675064734,0.18057731036025956,0.04933430297605729
5,tree_crops_high,tree_crops,high,0.009228773595528391,0.040480986204132006,0.03125221260860361,0.02314589360909794,0.03823440946460798,0.0,0.0,0.005785286963381763,0.05790940766550523,0.0028573436072792,0.04666674473616413,0.001679613688851564,0.025060536076702358,0.003180641242847553,0.049336380781894326
6,tubers_low,tubers,low,0.062286339703544226,0.04480792530503596,0.017478414398508266,0.02961986880174167,0.038232977169211375,0.008427932576539388,0.059338951955051025,0.0020379988166458482,0.03989547038327526,0.12218657048504579,0.044262126144694006,0.049408636013716846,0.047427391699909026,0.09046446952018668,0.04906258990506026
7,tubers_medium,tubers,medium,0.06933966300788658,0.04597086788305716,0.023368795124829415,0.03285685639806354,0.03933097482024693,0.009287925696594427,0.06066506134617589,0.00328709486555782,0.04299980277430807,0.15064290231163782,0.04573131601751879,0.051368185317377,0.050785219399538103,0.09147140619505802,0.04907026180353547
8,tubers_high,tubers,high,0.008354990248758012,0.04457650783927791,0.0362215175905199,0.0027070382995789052,0.0381809848463147,0.0015479876160990713,0.06212647632152275,0.0009203865623561896,0.047286831897968576,0.03431154413659039,0.050217111272454734,0.003219259570298831,0.022999510112674083,0.0018220758878624173,0.047240354185979605
9,legumes_low,legumes,low,0.0597280461934124,0.04296514325092445,0.016762902942487945,0.03695322123234696,0.03655719155518634,0.06667813324160074,0.058900928792569654,0.022943922161593584,0.0387324962198409,0.040260439843548726,0.03847249221256763,0.041990342221289105,0.04620267338512143,0.10948438448997859,0.04902886551801298
10,legumes_medium,legumes,medium,0.06853344022916545,0.044920165928755126,0.023613274300410325,0.04173708785699963,0.03677346816007333,0.0841646600160532,0.059696709092993926,0.024324502005127868,0.04045296167247387,0.064290231163782,0.04661428203386655,0.04772902232486528,0.04876618377773113,0.11247322827094589,0.048943355816258034
11,legumes_high,legumes,high,0.011061917008598208,0.045495061322475605,0.034433144313877395,0.009596379157237388,0.037131112320605,0.02081183350533196,0.060924779268432525,0.00328709486555782,0.04319637104726842,0.02808159823875214,0.05065109960887182,0.0027293722443837917,0.047331513751837084,0.0021577214461528625,0.04714781191062238
12,sorghum_millet_low,sorghum_millet,low,0.04364863099768943,0.04202956450457836,0.0016190664931110751,0.038127703457561085,0.036922570110859664,0.005102625845659901,0.04524939800481596,0.1447636578791664,0.042487673394254154,0.08426821556549641,0.037589994613204676,0.008538036251662117,0.04591084050668346,0.01627081801617492,0.048862800882268326
13,sorghum_millet_medium,sorghum_millet,medium,0.043635118884079574,0.043322628736662414,0.0003124901474171604,0.03815634936549314,0.03719141195680197,0.005159958720330237,0.050049879600963194,0.14482939977647755,0.046752350272828876,0.08415111131929644,0.04022202965079513,0.008468052347959968,0.04624606340541675,0.016254834894351564,0.048903557842917875
14,sorghum_millet_high,sorghum_millet,high,0.04362160677046972,0.04470730509902128,0.001085698328551557,0.038113380503595064,0.037522988341115476,0.005102625845659901,0.053784543056988876,0.1447636578791664,0.05096311879560844,0.08417453216853643,0.04354427711548821,0.008538036251662117,0.046560990972076416,0.016254834894351564,0.049043250327654
15,teff_low,teff,low,0.008291933718578707,0.011793688041329051,0.003501754322750345,0.026368558251453778,0.03750422527141997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,teff_medium,teff,medium,0.008287429680708756,0.011835215270489995,0.003547785589781239,0.026354235297487753,0.037636282906986736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,teff_high,teff,high,0.008291933718578707,0.012071271895254095,0.003779338176675388,0.026368558251453778,0.03838694892434616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,other_low,other,low,0.036401634064939216,0.04412587885038937,0.0077242447854501545,0.04255349623306311,0.036349795181758286,0.012555899552803578,0.060493062722164884,0.016698441917033725,0.04144763657879166,0.013958826147036092,0.04127526524111764,0.1762894534257121,0.051802785359367345,0.02434229453696896,0.04908368762586708
19,other_medium,other,medium,0.043635118884079574,0.04559180805592213,0.0019566891718425586,0.0484545532670658,0.03692142427454238,0.02889576883384933,0.06397316821465428,0.026954177897574125,0.046747748340017097,0.028667119469751975,0.044176171627983235,0.1874168941143537,0.05311288403667156,0.023798868394974908,0.04911021960809386
20,other_high,other,high,0.008404534665327467,0.04928953306639402,0.040884998401066554,0.004411469821535993,0.03807384915064883,0.025742460726980852,0.06956083018002522,0.015383603970810598,0.06909473407402537,0.01028175281635712,0.05075415134552779,0.01406676464413185,0.05284414584645532,0.0037560336284883163,0.04952769875011987
21,rice_low,rice,low,0.007760457249924558,0.036620800547691006,0.028860343297766447,0.0007877624681314274,0.03771147841530837,0.0,0.0,0.037670107159292615,0.04271448293997765,0.015153289458275756,0.03867086680563037,0.018545734481069356,0.049216880117572956,0.0029249112936738804,0.039855512578716876
22,rice_medium,rice,medium,0.00789557838602307,0.042742553699391506,0.03484697531336844,0.0007734395141654015,0.039551261852244404,0.0016626533654397432,0.050728700837059965,0.03773584905660377,0.0497784498060614,0.01517671030751575,0.04385202707450172,0.018475750577367205,0.050512982014136745,0.002940894415497235,0.039835054182782985
23,rice_high,rice,high,0.007728928984834904,0.04066515631263428,0.032936227327799376,0.0007877624681314274,0.03005041679796041,0.0,0.0,0.037670107159292615,0.06638419564788639,0.015129868609035764,0.062328032414455344,0.018405766673665058,0.052308768983133885,0.002860978806380462,0.04015136016366717
24,wheat_barley_low,wheat_barley,low,0.009836818707971696,0.010973457704832382,0.0011366389968606866,0.031281331461800684,0.03489587212466699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,wheat_barley_medium,wheat_barley,medium,0.009958427730460358,0.022280529494691986,0.012322101764231628,0.031295654415766705,0.035583373915036236,0.0,0.0,0.0,0.0,0.00016394594467995408,0.04360072136215659,0.0013296941703408217,0.04204702918328784,0.0,0.0
26,wheat_barley_high,wheat_barley,high,0.009836818707971696,0.011414718294951423,0.0015778995869797276,0.031281331461800684,0.03629909192471855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
