,observed,observed,observed,predicted,predicted,predicted
intensity,high,low,medium,high,low,medium
crop,,,,,,
legumes,0.011061917008598208,0.0597280461934124,0.06853344022916545,0.045495061322475605,0.04296514325092445,0.044920165928755126
maize,0.06211518626448611,0.06217824279466542,0.06210617818874621,0.04834908995914838,0.04435562982213554,0.04584768244731401
other,0.008404534665327467,0.036401634064939216,0.043635118884079574,0.04928953306639402,0.04412587885038937,0.04559180805592213
rice,0.007728928984834904,0.007760457249924558,0.00789557838602307,0.04066515631263428,0.036620800547691006,0.042742553699391506
sorghum_millet,0.04362160677046972,0.04364863099768943,0.043635118884079574,0.04470730509902128,0.04202956450457836,0.043322628736662414
teff,0.008291933718578707,0.008291933718578707,0.008287429680708756,0.012071271895254095,0.011793688041329051,0.011835215270489995
tree_crops,0.009228773595528391,0.11318647167185382,0.11464577994171775,0.040480986204132006,0.04378474302211933,0.03898208744139121
tubers,0.008354990248758012,0.062286339703544226,0.06933966300788658,0.04457650783927791,0.04480792530503596,0.04597086788305716
wheat_barley,0.009836818707971696,0.009836818707971696,0.009958427730460358,0.011414718294951423,0.010973457704832382,0.022280529494691986
