action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
0,maize_low,maize,low,0.06217824279466542,0.0444326488697117,0.01774559392495372,0.04271104872668939,0.036442035005299495,0.21528494438711157,0.05963822956083018,0.0508184866215239,0.0426546578134245,0.05412558259362484,0.04421106869335082,0.09692770662747568,0.04659458324585345,0.041540133618898446,0.049200204583959344
1,maize_medium,maize,medium,0.06210617818874621,0.04582822500371583,0.016277953185030378,0.04272537168065542,0.036818155776447335,0.21539961013645223,0.061658066735466116,0.0508184866215239,0.04769574649924397,0.05410216174438485,0.048099632292666936,0.09671775491636923,0.04714885576317447,0.04130038679154813,0.04916392289742032
2,maize_high,maize,high,0.06211518626448611,0.04822022943568909,0.013894956828797017,0.04271104872668939,0.037295396602595315,0.21528494438711157,0.06341015938539159,0.0508184866215239,0.05350338570771153,0.05412558259362484,0.05545190528608568,0.09685772272377353,0.05216250262439639,0.041332353035194835,0.04905683598120385
3,tree_crops_low,tree_crops,low,0.11318647167185382,0.0438961729190219,0.06929029875283192,0.1461943911312269,0.036715030507891946,0.0788900355463823,0.05983717463593625,0.08631911116954835,0.04230688317664848,0.022062439984073822,0.04113520856266248,0.024914269717964867,0.04614108754986353,0.17479142026020522,0.04922353994182143
4,tree_crops_medium,tree_crops,medium,0.11464577994171775,0.039022984105250354,0.07562279583646739,0.16392620814116704,0.037576985877567394,0.0,0.0,0.09217014003024128,0.04664453356123858,0.02182823149167389,0.043021289551959156,0.026383931695709986,0.02879697669536007,0.18057731036025956,0.04926925167023623
5,tree_crops_high,tree_crops,high,0.009228773595528391,0.040401489935727376,0.031172716340198983,0.02314589360909794,0.03829585493712223,0.0,0.0,0.005785286963381763,0.05669778449806061,0.0028573436072792,0.046791577862613294,0.001679613688851564,0.025102526418923646,0.003180641242847553,0.04918550011188186
6,tubers_low,tubers,low,0.062286339703544226,0.04497943906712367,0.017306900636420555,0.02961986880174167,0.03825259961614483,0.008427932576539388,0.05934984520123839,0.0020379988166458482,0.04083952402866347,0.12218657048504579,0.04466590158559149,0.049408636013716846,0.0473910000699839,0.09046446952018668,0.049149538087779304
7,tubers_medium,tubers,medium,0.06933966300788658,0.04605338185683465,0.023286281151051927,0.03285685639806354,0.03932324042510527,0.009287925696594427,0.06069430111225777,0.00328709486555782,0.043233843928735784,0.15064290231163782,0.045979342810970325,0.051368185317377,0.05080481489257471,0.09147140619505802,0.04913291564108302
8,tubers_high,tubers,high,0.008354990248758012,0.04455304180197547,0.03619805155321745,0.0027070382995789052,0.03818828955283738,0.0015479876160990713,0.06214138286893704,0.0009203865623561896,0.04679508250608112,0.03431154413659039,0.050243342623603526,0.003219259570298831,0.02302680383511792,0.0018220758878624173,0.04724019435476137
9,legumes_low,legumes,low,0.0597280461934124,0.04308116726645438,0.016646878926958014,0.03695322123234696,0.036471826749548825,0.06667813324160074,0.058894622176355924,0.022943922161593584,0.04026559726513707,0.040260439843548726,0.03849895777220882,0.041990342221289105,0.04614108754986353,0.10948438448997859,0.04916088610427389
