,observed,observed,observed,predicted,predicted,predicted
intensity,high,low,medium,high,low,medium
crop,,,,,,
legumes,0.011061917008598208,0.0597280461934124,0.06853344022916545,0.04541506960990528,0.04308116726645438,0.044952549961040075
maize,0.06211518626448611,0.06217824279466542,0.06210617818874621,0.04822022943568909,0.0444326488697117,0.04582822500371583
other,0.008404534665327467,0.036401634064939216,0.043635118884079574,0.049225125324853736,0.04425010021484261,0.04563292992167479
rice,0.007728928984834904,0.007760457249924558,0.00789557838602307,0.04023839872445647,0.036660841444354865,0.04266909284173261
sorghum_millet,0.04362160677046972,0.04364863099768943,0.043635118884079574,0.044650779423753395,0.04213022975097174,0.043340104403597826
teff,0.008291933718578707,0.008291933718578707,0.008287429680708756,0.012104241452462132,0.011814271494394724,0.01186557248573346
tree_crops,0.009228773595528391,0.11318647167185382,0.11464577994171775,0.040401489935727376,0.0438961729190219,0.039022984105250354
tubers,0.008354990248758012,0.062286339703544226,0.06933966300788658,0.04455304180197547,0.04497943906712367,0.04605338185683465
wheat_barley,0.009836818707971696,0.009836818707971696,0.009958427730460358,0.011416114546691109,0.010958414218346748,0.022207383919683996
