action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
0,maize_low,maize,low,0.06217824279466542,0.04435585502402904,0.017822387770636376,0.04271104872668939,0.036587985906213295,0.21528494438711157,0.05964740282077743,0.0508184866215239,0.04204720268226941,0.05412558259362484,0.044008712555917276,0.09692770662747568,0.046528098537336415,0.041540133618898446,0.0490632292299332
1,maize_medium,maize,medium,0.06210617818874621,0.045849123739432396,0.016257054449313815,0.04272537168065542,0.03687874187172362,0.21539961013645223,0.06165118679050567,0.0508184866215239,0.04780159095391493,0.05410216174438485,0.048220952291730096,0.09671775491636923,0.04707677234236125,0.04130038679154813,0.04908033117028419
2,maize_high,maize,high,0.06211518626448611,0.04834044220643807,0.013774744058048037,0.04271104872668939,0.03728522730527944,0.21528494438711157,0.06337633298933609,0.0508184866215239,0.054273880744198276,0.05412558259362484,0.055906269761341554,0.09685772272377353,0.05212751067254531,0.041332353035194835,0.04901480037080843
3,tree_crops_low,tree_crops,low,0.11318647167185382,0.04378523846628502,0.06940123320556879,0.1461943911312269,0.036867569967630125,0.0788900355463823,0.05981022818484119,0.08631911116954835,0.042020905923344946,0.022062439984073822,0.04055765042040425,0.024914269717964867,0.04608300090979075,0.17479142026020522,0.04914410382635937
4,tree_crops_medium,tree_crops,medium,0.11464577994171775,0.03896411633029011,0.07568166361142764,0.16392620814116704,0.0375045117304993,0.0,0.0,0.09217014003024128,0.04700611399644994,0.02182823149167389,0.04269082136918285,0.026383931695709986,0.02880327524669326,0.18057731036025956,0.04927740306236615
5,tree_crops_high,tree_crops,high,0.009228773595528391,0.0404816618098125,0.031252888214284104,0.02314589360909794,0.03818442235526655,0.0,0.0,0.005785286963381763,0.05794490829005325,0.0028573436072792,0.046659015855914934,0.001679613688851564,0.025171810483588776,0.003180641242847553,0.0493657897260493
6,tubers_low,tubers,low,0.062286339703544226,0.044783333258266035,0.01750300644527819,0.02961986880174167,0.038220802658340255,0.008427932576539388,0.059317738791423,0.0020379988166458482,0.0398750903951088,0.12218657048504579,0.04426025247675481,0.049408636013716846,0.04729652179998601,0.09046446952018668,0.049030943323850024
7,tubers_medium,tubers,medium,0.06933966300788658,0.04593672727600294,0.023402935731883637,0.03285685639806354,0.03927941218596923,0.009287925696594427,0.06062836830638688,0.00328709486555782,0.04298008020511472,0.15064290231163782,0.04573131601751879,0.051368185317377,0.05074112954020575,0.09147140619505802,0.04903174247994119
8,tubers_high,tubers,high,0.008354990248758012,0.04454894312751381,0.0361939528787558,0.0027070382995789052,0.03811624509438826,0.0015479876160990713,0.062102969842907925,0.0009203865623561896,0.047285517060022354,0.03431154413659039,0.050212895519591544,0.003219259570298831,0.023007208342081323,0.0018220758878624173,0.047222772751973924
9,legumes_low,legumes,low,0.0597280461934124,0.0429605941726758,0.016767452020736595,0.03695322123234696,0.036626228193302586,0.06667813324160074,0.05888888888888889,0.022943922161593584,0.038720005259351785,0.040260439843548726,0.03848701313909642,0.041990342221289105,0.04601721604031073,0.10948438448997859,0.04897452290381358
10,legumes_medium,legumes,medium,0.06853344022916545,0.04489863662773677,0.02363480360142868,0.04173708785699963,0.036805838036036556,0.0841646600160532,0.0596600160532049,0.024324502005127868,0.04041877588587206,0.064290231163782,0.046618731995222144,0.04772902232486528,0.04861851774091959,0.11247322827094589,0.048880062653837555
11,legumes_high,legumes,high,0.011061917008598208,0.045474162586759036,0.034412245578160826,0.009596379157237388,0.03713698473173107,0.02081183350533196,0.0608880862286435,0.00328709486555782,0.043193083952402865,0.02808159823875214,0.050642433894653026,0.0027293722443837917,0.04727552662887536,0.0021577214461528625,0.04709682575200588
12,sorghum_millet_low,sorghum_millet,low,0.04364863099768943,0.04202163739792724,0.0016269935997621915,0.038127703457561085,0.03697241399066144,0.005102625845659901,0.04529125100332531,0.1447636578791664,0.042448228255867464,0.08426821556549641,0.03758554465184907,0.008538036251662117,0.0457036881517251,0.01627081801617492,0.048827318351820484
13,sorghum_millet_medium,sorghum_millet,medium,0.043635118884079574,0.043303982019880824,0.00033113686419875,0.03815634936549314,0.03720029218826091,0.005159958720330237,0.05005790620341704,0.14482939977647755,0.04674446124515153,0.08415111131929644,0.04022624540365834,0.008468052347959968,0.0460326124991252,0.016254834894351564,0.048873030080235275
14,sorghum_millet_high,sorghum_millet,high,0.04362160677046972,0.04468537043459461,0.0010637636641248893,0.038113380503595064,0.037513391961958235,0.005102625845659901,0.053779956427015246,0.1447636578791664,0.050959831700742884,0.08417453216853643,0.0435477902428742,0.008538036251662117,0.046437819301560636,0.016254834894351564,0.04900393184796855
15,teff_low,teff,low,0.008291933718578707,0.011787067105660224,0.003495133387081517,0.026368558251453778,0.03748317052908992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,teff_medium,teff,medium,0.008287429680708756,0.011816208230678802,0.0035287785499700467,0.026354235297487753,0.03757584004125011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,teff_high,teff,high,0.008291933718578707,0.01204546375825928,0.0037535300396805728,0.026368558251453778,0.03830487839812083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,other_low,other,low,0.036401634064939216,0.044128716394247446,0.00772708232930823,0.04255349623306311,0.036444326677934055,0.012555899552803578,0.06047471620227038,0.016698441917033725,0.04140884885937808,0.013958826147036092,0.04129119141860084,0.1762894534257121,0.05173420113373924,0.02434229453696896,0.04900760796598792
19,other_medium,other,medium,0.043635118884079574,0.04559000644077415,0.0019548875566945748,0.0484545532670658,0.03696267438196454,0.02889576883384933,0.06398520811833505,0.026954177897574125,0.04672868318979685,0.028667119469751975,0.04417827950441483,0.1874168941143537,0.05325355168311289,0.023798868394974908,0.04902550906243008
20,other_high,other,high,0.008404534665327467,0.04932187205830027,0.040917337392972805,0.004411469821535993,0.03806267724655533,0.025742460726980852,0.06971906891411535,0.015383603970810598,0.06917822628361055,0.01028175281635712,0.0507330725812118,0.01406676464413185,0.05324165441948352,0.0037560336284883163,0.04951411309657003
21,rice_low,rice,low,0.007760457249924558,0.03664814005756161,0.028887682807637052,0.0007877624681314274,0.03768311896645564,0.0,0.0,0.037670107159292615,0.04270527907435409,0.015153289458275756,0.03867882989437197,0.018545734481069356,0.04927846595283085,0.0029249112936738804,0.039966914937825664
22,rice_medium,rice,medium,0.00789557838602307,0.04277624390265873,0.03488066551663566,0.0007734395141654015,0.039479790311953936,0.0016626533654397432,0.05072067423460612,0.03773584905660377,0.049781736900926965,0.01517671030751575,0.04385413495093332,0.018475750577367205,0.050778221009167894,0.002940894415497235,0.039973787680209705
23,rice_high,rice,high,0.007728928984834904,0.040824148849443534,0.03309521986460863,0.0007877624681314274,0.03001675785614025,0.0,0.0,0.037670107159292615,0.06647754914206824,0.015129868609035764,0.062306016816169756,0.018405766673665058,0.05283504793897404,0.002860978806380462,0.04062525972572964
24,wheat_barley_low,wheat_barley,low,0.009836818707971696,0.010984402516856362,0.0011475838088846665,0.031281331461800684,0.034930676902804436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,wheat_barley_medium,wheat_barley,medium,0.009958427730460358,0.02227715146628953,0.012318723735829172,0.031295654415766705,0.03558953278524163,0.0,0.0,0.0,0.0,0.00016394594467995408,0.043602829238588194,0.0013296941703408217,0.04195814962558611,0.0,0.0
26,wheat_barley_high,wheat_barley,high,0.009836818707971696,0.011410754741625867,0.0015739360336541712,0.031281331461800684,0.036286487725228446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
