,observed,observed,observed,predicted,predicted,predicted
intensity,high,low,medium,high,low,medium
crop,,,,,,
legumes,0.011061917008598208,0.0597280461934124,0.06853344022916545,0.045474162586759036,0.0429605941726758,0.04489863662773677
maize,0.06211518626448611,0.06217824279466542,0.06210617818874621,0.04834044220643807,0.04435585502402904,0.045849123739432396
other,0.008404534665327467,0.036401634064939216,0.043635118884079574,0.04932187205830027,0.044128716394247446,0.04559000644077415
rice,0.007728928984834904,0.007760457249924558,0.00789557838602307,0.040824148849443534,0.03664814005756161,0.04277624390265873
sorghum_millet,0.04362160677046972,0.04364863099768943,0.043635118884079574,0.04468537043459461,0.04202163739792724,0.043303982019880824
teff,0.008291933718578707,0.008291933718578707,0.008287429680708756,0.01204546375825928,0.011787067105660224,0.011816208230678802
tree_crops,0.009228773595528391,0.11318647167185382,0.11464577994171775,0.0404816618098125,0.04378523846628502,0.03896411633029011
tubers,0.008354990248758012,0.062286339703544226,0.06933966300788658,0.04454894312751381,0.044783333258266035,0.04593672727600294
wheat_barley,0.009836818707971696,0.009836818707971696,0.009958427730460358,0.011410754741625867,0.010984402516856362,0.02227715146628953
