action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
0,maize_low,maize,low,0.06217824279466542,0.044409869698184425,0.017768373096480994,0.04271104872668939,0.03656130940445157,0.21528494438711157,0.05961257309941521,0.0508184866215239,0.04197455788574058,0.05412558259362484,0.04395039464130969,0.09692770662747568,0.04756543494996151,0.041540133618898446,0.04911493462903174
1,maize_medium,maize,medium,0.06210617818874621,0.045902001144025616,0.016204177044720595,0.04272537168065542,0.036887514681027814,0.21539961013645223,0.061614207086343305,0.0508184866215239,0.04777874564459931,0.05410216174438485,0.048259830901468494,0.09671775491636923,0.04770277836097698,0.04130038679154813,0.04910454559984656
2,maize_high,maize,high,0.06211518626448611,0.048356814384095344,0.013758371880390766,0.04271104872668939,0.03723001231774041,0.21528494438711157,0.06333276000458664,0.0508184866215239,0.054170501610676484,0.05412558259362484,0.055886830456472344,0.09685772272377353,0.05218962138708097,0.041332353035194835,0.04917087555541349
3,tree_crops_low,tree_crops,low,0.11318647167185382,0.043808073938285674,0.06937839773356815,0.1461943911312269,0.036724233005815114,0.0788900355463823,0.059897804150900125,0.08631911116954835,0.04206248767339425,0.022062439984073822,0.04056373984120664,0.024914269717964867,0.04665301980544475,0.17479142026020522,0.04921622766358725
4,tree_crops_medium,tree_crops,medium,0.11464577994171775,0.0389402787098634,0.07570550123185435,0.16392620814116704,0.03752524420636512,0.0,0.0,0.09217014003024128,0.04700874367234238,0.02182823149167389,0.04270001405250954,0.026383931695709986,0.028285744278815875,0.18057731036025956,0.049280959306971836
5,tree_crops_high,tree_crops,high,0.009228773595528391,0.04040228940244929,0.031173515806920897,0.02314589360909794,0.03821847517832078,0.0,0.0,0.005785286963381763,0.05804927355203471,0.0028573436072792,0.046659601377145934,0.001679613688851564,0.024205682692980613,0.003180641242847553,0.04924100150241345
6,tubers_low,tubers,low,0.062286339703544226,0.04492817185606896,0.017358167847475264,0.02961986880174167,0.0382872253573577,0.008427932576539388,0.05940975805526889,0.0020379988166458482,0.03999161790809283,0.12218657048504579,0.044286776588519094,0.049408636013716846,0.04829676674364896,0.09046446952018668,0.0491702761883451
7,tubers_medium,tubers,medium,0.06933966300788658,0.04597918909302189,0.023360473914864684,0.03285685639806354,0.0393487352831648,0.009287925696594427,0.06067251461988304,0.00328709486555782,0.043037933074748534,0.15064290231163782,0.04567153429983371,0.051368185317377,0.05104188536636573,0.09147140619505802,0.04905080235271553
8,tubers_high,tubers,high,0.008354990248758012,0.04456970674209429,0.036214716493336276,0.0027070382995789052,0.03827433469878828,0.0015479876160990713,0.0620793200321064,0.0009203865623561896,0.04723226612320032,0.03431154413659039,0.050186195751457954,0.003219259570298831,0.022854993351529147,0.0018220758878624173,0.047192564651727775
9,legumes_low,legumes,low,0.0597280461934124,0.04305398539790923,0.016674060795503168,0.03695322123234696,0.036529619868801745,0.06667813324160074,0.058853629170966634,0.022943922161593584,0.03876060088094142,0.040260439843548726,0.038446202309295734,0.041990342221289105,0.04741409475820561,0.10948438448997859,0.04912252661189784
10,legumes_medium,legumes,medium,0.06853344022916545,0.04497208622530099,0.023561354003864464,0.04173708785699963,0.036823777535879,0.0841646600160532,0.059724372205022365,0.024324502005127868,0.04036470317533364,0.064290231163782,0.046661650701454435,0.04772902232486528,0.04938939044019876,0.11247322827094589,0.04891055045871559
11,legumes_high,legumes,high,0.011061917008598208,0.04552703999135224,0.03446512298275403,0.009596379157237388,0.03711847231372998,0.02081183350533196,0.0609462790964339,0.00328709486555782,0.04330090066399316,0.02808159823875214,0.05068476707965431,0.0027293722443837917,0.047596927706627476,0.0021577214461528625,0.04716039861905827
12,sorghum_millet_low,sorghum_millet,low,0.04364863099768943,0.04218003314971872,0.0014685978479707096,0.038127703457561085,0.03691866710590392,0.005102625845659901,0.045386853571838096,0.1447636578791664,0.042498849516797055,0.08426821556549641,0.037629107431435466,0.008538036251662117,0.04748495346070404,0.01627081801617492,0.048973883578940634
13,sorghum_millet_medium,sorghum_millet,medium,0.043635118884079574,0.04343311278561231,0.0002020060984672667,0.03815634936549314,0.03719241456357959,0.005159958720330237,0.05008528265107212,0.14482939977647755,0.04668085595950299,0.08415111131929644,0.040274492353092724,0.008468052347959968,0.0475960529078312,0.016254834894351564,0.04895790045711728
14,sorghum_millet_high,sorghum_millet,high,0.04362160677046972,0.04475797552505822,0.0011363687545884946,0.038113380503595064,0.03753759775416082,0.005102625845659901,0.053757453273707144,0.1447636578791664,0.05073877457103412,0.08417453216853643,0.043552240204229806,0.008538036251662117,0.04750594863181468,0.016254834894351564,0.04904760572835086
15,teff_low,teff,low,0.008291933718578707,0.01178520919003887,0.003493275471460163,0.026368558251453778,0.037477262310578935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,teff_medium,teff,medium,0.008287429680708756,0.011867295280218716,0.0035798655995099606,0.026354235297487753,0.037738298146609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,teff_high,teff,high,0.008291933718578707,0.012067330862117889,0.003775397143539182,0.026368558251453778,0.038374416339625884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,other_low,other,low,0.036401634064939216,0.044096557563856,0.007694923498916782,0.04255349623306311,0.036300452605345326,0.012555899552803578,0.060317767457860334,0.016698441917033725,0.041414108211162974,0.013958826147036092,0.041162142539288474,0.1762894534257121,0.052227237735320876,0.02434229453696896,0.04907197998913148
19,other_medium,other,medium,0.043635118884079574,0.04553953869644136,0.0019044198123617864,0.0484545532670658,0.03692081554899883,0.02889576883384933,0.0639956713679624,0.026954177897574125,0.04674166721451581,0.028667119469751975,0.04417728411832213,0.1874168941143537,0.052462558611519355,0.023798868394974908,0.049068383786721216
20,other_high,other,high,0.008404534665327467,0.04907796714754778,0.040673432482220315,0.004411469821535993,0.037982862585579646,0.025742460726980852,0.06954764361885105,0.015383603970810598,0.06908405101571231,0.01028175281635712,0.050776401152305785,0.01406676464413185,0.05030180558471552,0.0037560336284883163,0.049450180609276605
21,rice_low,rice,low,0.007760457249924558,0.03658928354269603,0.02882882629277147,0.0007877624681314274,0.037747966140536826,0.0,0.0,0.037670107159292615,0.04272730260995332,0.015153289458275756,0.03871964072417266,0.018545734481069356,0.04849359647281125,0.0029249112936738804,0.039831737685004635
22,rice_medium,rice,medium,0.00789557838602307,0.042590125797777705,0.034694547411754637,0.0007734395141654015,0.039505034518319056,0.0016626533654397432,0.050766110537782363,0.03773584905660377,0.04976743803826179,0.01517671030751575,0.04384119493172822,0.018475750577367205,0.04880415004548953,0.002940894415497235,0.03973563916504171
23,rice_high,rice,high,0.007728928984834904,0.040501659737955074,0.03277273075312017,0.0007877624681314274,0.030065849780858803,0.0,0.0,0.037670107159292615,0.066614620997962,0.015129868609035764,0.06233429749162705,0.018405766673665058,0.04953548183917699,0.002860978806380462,0.04012702586069111
24,wheat_barley_low,wheat_barley,low,0.009836818707971696,0.01095691662575499,0.0011200979177832943,0.031281331461800684,0.03484327107622676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,wheat_barley_medium,wheat_barley,medium,0.009958427730460358,0.02229211613211244,0.012333688401652082,0.031295654415766705,0.03556496891918989,0.0,0.0,0.0,0.0,0.00016394594467995408,0.0435756610534698,0.0013296941703408217,0.042391874868780176,0.0,0.0
26,wheat_barley_high,wheat_barley,high,0.009836818707971696,0.011415371380442567,0.001578552672470871,0.031281331461800684,0.03630116875304363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
