,observed,observed,observed,predicted,predicted,predicted
intensity,high,low,medium,high,low,medium
crop,,,,,,
legumes,0.011061917008598208,0.0597280461934124,0.06853344022916545,0.04552703999135224,0.04305398539790923,0.04497208622530099
maize,0.06211518626448611,0.06217824279466542,0.06210617818874621,0.048356814384095344,0.044409869698184425,0.045902001144025616
other,0.008404534665327467,0.036401634064939216,0.043635118884079574,0.04907796714754778,0.044096557563856,0.04553953869644136
rice,0.007728928984834904,0.007760457249924558,0.00789557838602307,0.040501659737955074,0.03658928354269603,0.042590125797777705
sorghum_millet,0.04362160677046972,0.04364863099768943,0.043635118884079574,0.04475797552505822,0.04218003314971872,0.04343311278561231
teff,0.008291933718578707,0.008291933718578707,0.008287429680708756,0.012067330862117889,0.01178520919003887,0.011867295280218716
tree_crops,0.009228773595528391,0.11318647167185382,0.11464577994171775,0.04040228940244929,0.043808073938285674,0.0389402787098634
tubers,0.008354990248758012,0.062286339703544226,0.06933966300788658,0.04456970674209429,0.04492817185606896,0.04597918909302189
wheat_barley,0.009836818707971696,0.009836818707971696,0.009958427730460358,0.011415371380442567,0.01095691662575499,0.02229211613211244
